,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,0.59985,0.66331,0.61384,0.77842,0.68295,0.75833,0.70399,0.6739,0.5802,0.76797,0.70097,0.59106,0.65659,0.72754,0.66497,0.67353,0.66255,0.60759,0.61184,0.62815,0.60782,0.68228,0.64853,0.71938,0.52199,0.69419,0.62361,0.60387,0.47375,0.69751,0.66764,0.67855,0.60781,0.54514,0.6901,0.75329
FUE 2,0.81604,0.87938,0.82981,0.99445,0.89896,0.97442,0.91986,0.88997,0.79576,0.98384,0.91691,0.80659,0.87253,0.94294,0.88046,0.88916,0.87841,0.82337,0.82742,0.84393,0.8229,0.89804,0.86417,0.93465,0.73701,0.90981,0.83927,0.81929,0.68875,0.91275,0.88318,0.8941,0.82338,0.76031,0.90566,0.96878
FUE 3,0.4588,0.52198,0.47227,0.63698,0.54148,0.61706,0.56219,0.53258,0.43768,0.62617,0.55935,0.44848,0.51497,0.58465,0.52229,0.53118,0.52072,0.46557,0.46936,0.48614,0.46421,0.54022,0.50621,0.57618,0.37825,0.55181,0.48131,0.46104,0.32997,0.55427,0.52507,0.53601,0.46531,0.40173,0.54758,0.61062
FUE 4,0.40119,0.4646,0.41509,0.57969,0.48422,0.55963,0.50519,0.4752,0.38126,0.56917,0.5022,0.39211,0.45782,0.52853,0.466,0.47463,0.46375,0.40875,0.41291,0.42931,0.40867,0.48344,0.44963,0.52031,0.32281,0.49528,0.42472,0.40487,0.27456,0.49843,0.4687,0.47961,0.40888,0.34603,0.49117,0.55432
FUE 5,0.44763,0.51024,0.4601,0.62505,0.52949,0.60544,0.54958,0.52086,0.42382,0.61357,0.54708,0.43453,0.50269,0.57018,0.50816,0.5176,0.50808,0.45256,0.45556,0.47316,0.44858,0.52716,0.49269,0.5612,0.36242,0.53818,0.46782,0.44666,0.31408,0.53923,0.51112,0.5221,0.45148,0.38642,0.53372,0.59649
FUE 6,0.62271,0.686,0.63639,0.80105,0.70556,0.78106,0.72641,0.6966,0.60219,0.79039,0.72349,0.61301,0.67911,0.74931,0.68686,0.69562,0.68495,0.62988,0.63385,0.65044,0.62915,0.70455,0.67064,0.74097,0.54325,0.71626,0.64573,0.62567,0.49498,0.71907,0.6896,0.70053,0.62981,0.5666,0.71209,0.77519
FUE 7,0.45776,0.5209,0.47117,0.63589,0.54039,0.61599,0.56105,0.5315,0.43646,0.62503,0.55823,0.44725,0.51385,0.58339,0.52105,0.52998,0.51958,0.4644,0.46814,0.48498,0.46286,0.53906,0.50501,0.57488,0.37689,0.5506,0.48012,0.45978,0.3286,0.55297,0.52384,0.53478,0.46409,0.40041,0.54636,0.60938
FUE 8,0.43673,0.50069,0.45162,0.61598,0.52057,0.59561,0.5422,0.51127,0.41974,0.60617,0.53885,0.4307,0.49447,0.56779,0.50481,0.51275,0.50079,0.44621,0.45131,0.46673,0.44957,0.52095,0.48768,0.56027,0.36402,0.53346,0.46273,0.44401,0.31586,0.53847,0.50729,0.51814,0.44731,0.38647,0.52964,0.59313
FUE 9,0.43778,0.4981,0.45135,0.61882,0.5236,0.59398,0.53345,0.51152,0.43099,0.58945,0.54061,0.44446,0.49199,0.53921,0.52012,0.47229,0.49979,0.44823,0.46038,0.46667,0.50414,0.51843,0.45904,0.58545,0.40106,0.50712,0.453,0.38505,0.44731,0.4131,0.48308,0.49879,0.43265,0.41596,0.52308,0.59586
FUE 10,0.4758,0.53574,0.48898,0.65671,0.56148,0.6317,0.57058,0.54933,0.46845,0.62633,0.57832,0.48199,0.52947,0.57555,0.5576,0.50863,0.53723,0.48567,0.49778,0.50403,0.54109,0.55566,0.49552,0.6226,0.43725,0.54362,0.48986,0.42122,0.48379,0.44917,0.51955,0.53535,0.4693,0.45284,0.55992,0.63286
FUE 11,0.40447,0.46318,0.41639,0.58495,0.48969,0.55942,0.49648,0.47729,0.39536,0.55151,0.50597,0.40909,0.45643,0.49923,0.48457,0.43234,0.46404,0.41251,0.42449,0.43062,0.46646,0.48185,0.41961,0.54855,0.36056,0.46775,0.41499,0.34446,0.40786,0.37217,0.44361,0.45963,0.39387,0.37799,0.48497,0.55837
FUE 12,0.41412,0.4743,0.42755,0.59511,0.49989,0.57021,0.50947,0.48779,0.40713,0.56537,0.51684,0.42062,0.46813,0.51493,0.49626,0.44801,0.47592,0.42436,0.43649,0.44277,0.48009,0.49448,0.43481,0.56147,0.37673,0.4829,0.42891,0.36071,0.42308,0.38872,0.45885,0.47459,0.40849,0.39188,0.49899,0.57183
FUE 13,0.45083,0.50918,0.46239,0.63118,0.5359,0.6055,0.54208,0.52344,0.44122,0.59693,0.55203,0.45501,0.50231,0.54428,0.53044,0.4774,0.50988,0.45836,0.4703,0.4764,0.51193,0.52753,0.46476,0.59417,0.40553,0.51291,0.4604,0.38942,0.453,0.41707,0.48876,0.50483,0.43913,0.4234,0.53035,0.60387
FUE 14,0.59344,0.65298,0.60622,0.77421,0.67897,0.74904,0.68732,0.66674,0.58553,0.74283,0.69563,0.59913,0.64656,0.69153,0.67469,0.62462,0.65427,0.60272,0.61479,0.621,0.65765,0.6725,0.61165,0.73936,0.5531,0.65976,0.60634,0.53705,0.5999,0.56491,0.63567,0.65154,0.58559,0.56933,0.67637,0.74947
FUE 15,0.62063,0.68042,0.63366,0.80149,0.70625,0.77642,0.71508,0.69407,0.61308,0.77074,0.72303,0.62663,0.6741,0.71976,0.70223,0.65285,0.68184,0.63029,0.64238,0.64862,0.68552,0.70019,0.63979,0.7671,0.58142,0.68789,0.63426,0.56537,0.62805,0.59329,0.66382,0.67964,0.61363,0.59724,0.70431,0.77731
