,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,61.6016,61.5822,61.5706,61.4862,61.4548,61.4088,61.2325,59.8003,60.3238,58.9744,60.8811,60.182,57.8844,56.7355,60.2796,55.438,50.8292,56.1998,59.9033,59.6625,57.8677,58.3171,50.0036,59.0666,55.0906,33.4807,45.5509,56.4768,58.4848,58.1464,58.6604,55.7402,58.2173,57.7509,57.8445,51.5864
FUE 2,64.3532,64.3383,64.3294,64.2645,64.2403,64.2047,64.0676,62.9112,63.3423,62.2134,63.7908,63.2264,61.2633,60.2319,63.3063,59.0371,54.6282,59.7421,62.9968,62.7962,61.2486,61.6441,53.8214,62.2923,58.7128,37.3873,49.4267,59.996,61.7905,61.4944,61.9429,59.3179,61.5567,61.1449,61.228,55.3648
FUE 3,113.7631,113.7455,113.735,113.6585,113.6301,113.5883,113.4277,112.1044,112.5919,111.3277,113.1062,112.4603,110.2904,109.1848,112.551,107.9247,103.387,108.6659,112.2007,111.9755,110.2744,110.7037,102.568,111.4148,107.5856,86.0759,98.1354,108.9345,110.8634,110.5408,111.0302,108.2191,110.6085,110.1625,110.2522,104.1369
FUE 4,59.5227,59.5064,59.4967,59.4257,59.3994,59.3606,59.2113,57.9672,58.4281,57.2274,58.9111,58.3039,56.2304,55.1588,58.3895,53.9284,49.4485,54.6531,58.0584,57.8448,56.215,56.6287,48.6349,57.3106,53.596,32.1685,44.2191,54.915,56.7822,56.4719,56.9424,54.2166,56.5371,56.1069,56.1935,50.1925
FUE 5,60.354,60.3399,60.3315,60.2702,60.2473,60.2137,60.0839,58.981,59.3937,58.3095,59.8211,59.2829,57.3893,56.3838,59.3593,55.2125,50.8511,55.9043,59.0631,58.8706,57.3749,57.7589,50.0489,58.3856,54.8935,33.6369,45.6686,56.153,57.9006,57.6137,58.0482,55.4882,57.6741,57.2742,57.3549,51.5827
FUE 6,79.6699,79.6532,79.6432,79.5705,79.5435,79.5037,79.3508,78.0813,78.5508,77.3296,79.0438,78.4242,76.3195,75.2367,78.5114,73.9965,69.4975,74.7267,78.1742,77.9568,76.3039,76.7227,68.6821,77.4141,73.6619,52.2071,64.2607,74.9908,76.8782,76.5639,77.0405,74.2868,76.6299,76.1945,76.2822,70.2434
FUE 7,54.6441,54.6188,54.6036,54.4941,54.4536,54.3943,54.1685,52.4155,53.0416,51.4546,53.7259,52.8705,50.226,48.9673,52.9882,47.5783,42.8028,48.3902,52.5376,52.253,50.2075,50.7091,41.9623,51.5604,47.211,25.3702,37.464,48.6879,50.8979,50.5178,51.0966,47.8993,50.5971,50.078,50.1817,43.5765
FUE 8,68.9408,68.9248,68.9151,68.845,68.8189,68.7806,68.6329,67.4005,67.8575,66.6662,68.3359,67.7343,65.6753,64.6089,67.8192,63.3831,58.9121,64.1053,67.491,67.2791,65.66,66.0714,58.0994,66.7489,63.0517,41.637,53.6863,64.3662,66.2239,65.9155,66.3831,63.6703,65.9803,65.5525,65.6387,59.6552
FUE 9,83.9578,83.9395,83.9286,83.8492,83.8198,83.7764,83.6101,82.2468,82.7476,81.4518,83.2777,82.6122,80.3948,79.2729,82.7055,77.9986,73.4337,78.7476,82.3456,82.1146,80.3785,80.8154,72.6122,81.5409,77.6564,56.1083,68.1719,79.0194,80.9781,80.6495,81.1482,78.296,80.7184,80.2648,80.356,74.1864
FUE 10,55.9895,55.9729,55.9466,55.8888,55.8823,55.6629,55.271,54.7651,55.3736,54.8852,54.575,52.285,51.9898,51.8733,53.8768,44.721,47.8949,41.3235,53.7383,53.069,53.7528,46.9867,51.957,53.3348,52.9797,45.177,50.6484,40.3645,49.7467,48.3633,51.4974,52.7057,52.7811,47.5674,48.4699,51.2348
FUE 11,59.2066,59.1938,59.1738,59.1295,59.1245,58.9553,58.6481,58.2431,58.7291,58.3401,58.0886,56.1381,55.8764,55.7726,57.5103,49.0152,52.0842,45.6716,57.3938,56.8226,57.406,51.2139,55.8473,57.051,56.7455,49.4604,54.6642,44.7217,53.8309,52.5299,55.4357,56.5073,56.5731,51.7713,52.631,55.1985
FUE 12,61.4402,61.4224,61.3943,61.3326,61.3257,61.0922,60.6768,60.1437,60.7853,60.27,59.9443,57.5693,57.2661,57.1467,59.2151,49.9065,53.1028,46.4977,59.071,58.3773,59.0861,52.1865,57.2326,58.6524,58.2851,50.3648,55.8948,45.5369,54.9777,53.5761,56.7617,58.0023,58.0801,52.7722,53.684,56.4932
FUE 13,78.0168,78.0026,77.9803,77.9311,77.9256,77.7379,77.3993,76.9564,77.4884,77.0622,76.7884,74.7057,74.4306,74.3217,76.1642,67.4015,70.5146,64.0349,76.0391,75.4296,76.0522,69.6284,74.4,75.6727,75.3477,67.8512,73.1661,63.0812,72.3049,70.9697,73.9691,75.0954,75.165,70.1956,71.0732,73.7217
