,FBS,Bid
FUE 1,1,0.57149
FUE 2,1,0.80343
FUE 3,1,0.42545
FUE 4,1,0.82652
FUE 5,1,0.34485
FUE 6,1,0.075885
FUE 7,1,0.45535
FUE 8,1,0.068694
FUE 9,1,0.4074
FUE 10,1,0.91972
FUE 11,2,0.3857
FUE 12,2,0.043739
FUE 13,2,0.66418
FUE 14,2,0.48386
FUE 15,2,0.77195
FUE 16,2,0.34767
FUE 17,2,0.77415
FUE 18,2,0.58056
FUE 19,2,0.63872
FUE 20,2,0.83872
FUE 21,3,0.56436
FUE 22,3,0.84179
FUE 23,3,0.5481
FUE 24,3,0.54384
FUE 25,3,0.92072
FUE 26,3,0.068507
FUE 27,3,0.1336
FUE 28,3,0.24272
FUE 29,3,0.91422
FUE 30,3,0.46551
FUE 31,4,0.49888
FUE 32,4,0.03798
FUE 33,4,0.88079
FUE 34,4,0.41797
FUE 35,4,0.23364
FUE 36,4,0.46998
FUE 37,4,0.61621
FUE 38,4,0.47109
FUE 39,4,0.63981
FUE 40,4,0.16983
FUE 41,5,0.45182
FUE 42,5,0.36728
FUE 43,5,0.91819
FUE 44,5,0.5676
FUE 45,5,0.10102
FUE 46,5,0.5651
FUE 47,5,0.32525
FUE 48,5,0.80999
FUE 49,5,0.71798
FUE 50,5,0.8233
FUE 51,6,0.32791
FUE 52,6,0.28502
FUE 53,6,0.9433
FUE 54,6,0.43124
FUE 55,6,0.33384
FUE 56,6,0.23435
FUE 57,6,0.6573
FUE 58,6,0.81435
FUE 59,6,0.37543
FUE 60,6,0.9517
