,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,0.2101,0.4762,0.28909,0.94133,0.56103,0.85354,0.66219,0.51817,0.21651,0.91786,0.64033,0.26477,0.46292,0.84376,0.5705,0.57614,0.49748,0.28971,0.33988,0.37087,0.54909,0.59045,0.47349,0.85911,0.35935,0.66087,0.37249,0.34241,0.38707,0.77882,0.57111,0.61219,0.32531,0.21275,0.65601,0.92343
FUE 2,0.26415,0.53021,0.34309,0.99533,0.61503,0.90757,0.71615,0.57218,0.2704,0.97183,0.69431,0.31865,0.51691,0.89761,0.62438,0.63005,0.55144,0.34365,0.39378,0.42482,0.60286,0.64439,0.5274,0.91292,0.41311,0.71478,0.4264,0.39626,0.44083,0.83263,0.62499,0.66607,0.3792,0.26654,0.7099,0.9773
FUE 3,0.17484,0.44086,0.2537,0.90597,0.52566,0.81823,0.62674,0.48283,0.18088,0.88241,0.60492,0.22912,0.42752,0.80804,0.53483,0.54055,0.46202,0.2542,0.30426,0.33537,0.51318,0.55493,0.43791,0.82331,0.32342,0.62528,0.33691,0.3067,0.35113,0.74301,0.53546,0.57655,0.28968,0.17689,0.62038,0.88776
FUE 4,0.16044,0.42652,0.23941,0.89165,0.51134,0.80387,0.61249,0.46849,0.16678,0.86816,0.59063,0.21503,0.41323,0.79401,0.52076,0.52641,0.44778,0.24,0.29015,0.32116,0.4993,0.54074,0.42377,0.80934,0.30956,0.61115,0.32277,0.29266,0.33728,0.72905,0.52137,0.56245,0.27558,0.16297,0.60627,0.87369
FUE 5,0.17205,0.43793,0.25066,0.90299,0.52266,0.81532,0.62358,0.4799,0.17742,0.87926,0.60185,0.22563,0.42445,0.80442,0.5313,0.53716,0.45886,0.25095,0.30081,0.33212,0.50928,0.55167,0.43453,0.81956,0.31946,0.62187,0.33354,0.3031,0.34716,0.73925,0.53197,0.57307,0.28623,0.17306,0.61691,0.88423
FUE 6,0.21582,0.48187,0.29473,0.94699,0.56668,0.85923,0.66779,0.52384,0.22201,0.92346,0.64596,0.27026,0.46855,0.84921,0.57598,0.58166,0.50308,0.29528,0.34539,0.37644,0.55442,0.59601,0.47902,0.8645,0.36467,0.66639,0.37802,0.34786,0.39238,0.78421,0.5766,0.61768,0.33081,0.21811,0.66151,0.9289
FUE 7,0.17458,0.44059,0.25343,0.9057,0.52539,0.81796,0.62645,0.48257,0.18058,0.88212,0.60464,0.22882,0.42724,0.80773,0.53452,0.54025,0.46174,0.25391,0.30396,0.33508,0.51285,0.55464,0.43761,0.82298,0.32308,0.62498,0.33662,0.30638,0.35079,0.74268,0.53516,0.57624,0.28938,0.17656,0.62007,0.88745
FUE 8,0.16932,0.43554,0.24854,0.90072,0.52043,0.81286,0.62174,0.47751,0.1764,0.87741,0.5998,0.22468,0.42239,0.80383,0.53046,0.53595,0.45704,0.24936,0.29975,0.33052,0.50952,0.55012,0.43328,0.81933,0.31986,0.62069,0.33227,0.30244,0.3476,0.73906,0.53102,0.57208,0.28518,0.17308,0.61589,0.88339
FUE 9,0.16958,0.43489,0.24847,0.90143,0.52119,0.81246,0.61955,0.47757,0.17921,0.87323,0.60024,0.22812,0.42177,0.79668,0.53429,0.52583,0.45679,0.24987,0.30202,0.3305,0.52317,0.54949,0.42612,0.82562,0.32912,0.61411,0.32984,0.2877,0.38046,0.70771,0.52496,0.56725,0.28152,0.18045,0.61425,0.88407
FUE 10,0.17909,0.4443,0.25788,0.9109,0.53066,0.82189,0.62883,0.48702,0.18857,0.88245,0.60966,0.2375,0.43114,0.80577,0.54366,0.53492,0.46615,0.25923,0.31137,0.33984,0.5324,0.55879,0.43524,0.83491,0.33817,0.62323,0.33905,0.29674,0.38958,0.71673,0.53408,0.57638,0.29068,0.18967,0.62346,0.89332
