,FBS,Bid
FUE 1,1,0.35313
FUE 2,1,0.13957
FUE 3,1,0.78062
FUE 4,1,0.53018
FUE 5,1,0.41093
FUE 6,1,0.18431
FUE 7,1,0.91909
FUE 8,1,0.69
FUE 9,1,0.81323
FUE 10,1,0.39727
FUE 11,2,0.15967
FUE 12,2,0.89621
FUE 13,2,0.63716
FUE 14,2,0.25077
FUE 15,2,0.73999
FUE 16,2,0.12211
FUE 17,2,0.74939
FUE 18,2,0.58009
FUE 19,2,0.91088
FUE 20,2,0.56982
FUE 21,3,0.38453
FUE 22,3,0.71688
FUE 23,3,0.43997
FUE 24,3,0.80858
FUE 25,3,0.90765
FUE 26,3,0.74584
FUE 27,3,0.62106
FUE 28,3,0.1511
FUE 29,3,0.18794
FUE 30,3,0.45442
FUE 31,4,0.73013
FUE 32,4,0.80146
FUE 33,4,0.027364
FUE 34,4,0.26981
FUE 35,4,0.46946
FUE 36,4,0.32691
FUE 37,4,0.97198
FUE 38,4,0.05857
FUE 39,4,0.0076591
FUE 40,4,0.089083
FUE 41,5,0.7859
FUE 42,5,0.14697
FUE 43,5,0.3572
FUE 44,5,0.33232
FUE 45,5,0.79195
FUE 46,5,0.83734
FUE 47,5,0.67126
FUE 48,5,0.54204
FUE 49,5,0.99146
FUE 50,5,0.15238
FUE 51,6,0.68469
FUE 52,6,0.89902
FUE 53,6,0.45066
FUE 54,6,0.89264
FUE 55,6,0.23294
FUE 56,6,0.84073
FUE 57,6,0.054922
FUE 58,6,0.74437
FUE 59,6,0.63413
FUE 60,6,0.22391
