,FBS,Bid
FUE 1,1,0.75053
FUE 2,1,0.43443
FUE 3,1,0.40066
FUE 4,1,0.37294
FUE 5,1,0.44325
FUE 6,1,0.38031
FUE 7,1,0.072712
FUE 8,1,0.44028
FUE 9,2,0.60653
FUE 10,2,0.30478
FUE 11,2,0.40664
FUE 12,2,0.10101
FUE 13,2,0.47688
FUE 14,2,0.29241
FUE 15,2,0.016283
FUE 16,2,0.88442
FUE 17,3,0.21031
FUE 18,3,0.68364
FUE 19,3,0.15439
FUE 20,3,0.97432
FUE 21,3,0.50266
FUE 22,3,0.89141
FUE 23,3,0.72649
FUE 24,3,0.49718
FUE 25,4,0.60721
FUE 26,4,0.34929
FUE 27,4,0.52621
FUE 28,4,0.79692
FUE 29,4,0.27368
FUE 30,4,0.29268
FUE 31,4,0.34815
FUE 32,4,0.87597
FUE 33,5,0.093319
FUE 34,5,0.20668
FUE 35,5,0.30276
FUE 36,5,0.35152
FUE 37,5,0.72675
FUE 38,5,0.88633
FUE 39,5,0.051926
FUE 40,5,0.078559
FUE 41,6,0.014486
FUE 42,6,0.19334
FUE 43,6,0.026289
FUE 44,6,0.46877
FUE 45,6,0.24338
FUE 46,6,0.91992
FUE 47,6,0.71583
FUE 48,6,0.48865
