,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,61.1523,61.1522,61.1359,61.1143,61.0393,60.9735,60.9036,59.9557,60.4713,60.0825,56.6981,58.7277,54.98,58.5979,59.8727,59.8179,59.8217,59.7362,59.4223,58.1272,59.6732,58.3064,53.0244,53.8233,55.1707,47.8999,58.9723,55.9745,50.6692,40.4179,58.4552,55.4166,52.9961,57.4343,52.7891,56.9624
FUE 2,90.9333,90.9333,90.9194,90.901,90.8372,90.7809,90.7212,89.897,90.3482,90.0086,86.9197,88.7976,85.2873,88.6796,89.8237,89.7753,89.7786,89.7029,89.4235,88.2491,89.647,88.4134,83.3967,84.1724,85.4699,78.3527,89.0191,86.2362,81.09,70.9004,88.5495,85.705,83.3691,87.6084,83.1674,87.1679
FUE 3,68.9078,68.9078,68.8921,68.8715,68.7998,68.7368,68.6699,67.7579,68.2549,67.8804,64.5792,66.5666,62.8845,66.4402,67.6778,67.6248,67.6285,67.5457,67.2417,65.9807,67.4848,66.1557,60.9465,61.7391,63.073,55.8433,66.8047,63.8667,58.6042,48.3692,66.301,63.316,60.9184,65.3023,60.7128,64.8391
FUE 4,85.6817,85.6817,85.6678,85.6495,85.5858,85.5298,85.4702,84.6483,85.0983,84.7596,81.6764,83.5513,80.0457,83.4336,84.5752,84.5269,84.5302,84.4547,84.1759,83.0038,84.3989,83.1678,78.1564,78.9316,80.2281,73.1141,83.7724,80.9937,75.8507,65.6625,83.3037,80.463,78.1289,82.3641,77.9273,81.9242
FUE 5,67.8943,67.8942,67.8821,67.866,67.81,67.7607,67.7081,66.975,67.3783,67.0751,64.2218,65.9752,62.6631,65.8666,66.9091,66.8655,66.8685,66.8002,66.5472,65.4683,66.7497,65.6207,60.8305,61.5854,62.8388,55.8606,66.1784,63.5724,58.5681,48.4364,65.7465,63.0645,60.8036,64.8705,60.6068,64.4562
FUE 6,75.8275,75.8274,75.8126,75.793,75.7248,75.6648,75.601,74.7279,75.2047,74.8456,71.6367,73.5768,69.9685,73.4541,74.6508,74.5998,74.6033,74.5237,74.2304,73.0071,74.465,73.1775,68.0506,68.8361,70.1545,62.9723,73.8077,70.9365,65.7233,55.5074,73.3188,70.3942,68.0227,72.345,67.8188,71.8915
FUE 7,54.338,54.3379,54.32,54.2964,54.2142,54.1422,54.0659,53.0411,53.5963,53.1772,49.6216,51.7368,47.8574,51.6003,52.9522,52.8936,52.8976,52.8062,52.4718,51.1066,52.739,51.2942,45.8676,46.6786,48.0523,40.7017,51.9949,48.8764,43.4874,33.2048,51.4503,48.304,45.8389,50.3843,45.6291,49.8949
FUE 8,86.212,86.212,86.1982,86.18,86.1167,86.061,86.0017,85.1838,85.6317,85.2947,82.2217,84.0912,80.594,83.9739,85.1111,85.063,85.0663,84.9911,84.7135,83.5455,84.9356,83.709,78.7072,79.4815,80.7762,73.6679,84.3115,81.5404,76.4033,66.2174,83.8445,81.0107,78.6797,82.9077,78.4783,82.4689
FUE 9,68.6477,68.6476,68.6326,68.6127,68.5437,68.4831,68.4186,67.5368,68.0181,67.6555,64.4256,66.3765,62.7514,66.2529,67.459,67.4075,67.4111,67.3307,67.035,65.8031,67.2715,65.9746,60.8288,61.6159,62.9379,55.7448,66.6091,63.7226,58.498,48.2777,66.1168,63.1783,60.8009,65.1373,60.5965,64.6816
FUE 10,68.0219,68.0219,68.0097,67.9935,67.9374,67.8878,67.8351,67.0995,67.5041,67.2,64.3404,66.0971,62.7797,65.9883,67.0335,66.9897,66.9928,66.9243,66.6706,65.5892,66.8737,65.7418,60.9454,61.7008,62.9555,55.9734,66.3009,63.6901,58.6818,48.5483,65.868,63.1814,60.9185,64.9902,60.7215,64.5752
