,FBS,Bid
FUE 1,1,0.47683
FUE 2,1,0.94126
FUE 3,1,0.15274
FUE 4,1,0.01871
FUE 5,1,0.80162
FUE 6,1,0.10431
FUE 7,1,0.49731
FUE 8,1,0.036429
FUE 9,1,0.49706
FUE 10,1,0.85433
FUE 11,2,0.085066
FUE 12,2,0.35753
FUE 13,2,0.42459
FUE 14,2,0.0072832
FUE 15,2,0.63573
FUE 16,2,0.33479
FUE 17,2,0.28211
FUE 18,2,0.29994
FUE 19,2,0.21776
FUE 20,2,0.42668
FUE 21,3,0.10216
FUE 22,3,0.53195
FUE 23,3,0.54927
FUE 24,3,0.51622
FUE 25,3,0.53714
FUE 26,3,0.57611
FUE 27,3,0.55467
FUE 28,3,0.96356
FUE 29,3,0.76242
FUE 30,3,0.6527
FUE 31,4,0.36222
FUE 32,4,0.2607
FUE 33,4,0.95995
FUE 34,4,0.74039
FUE 35,4,0.15833
FUE 36,4,0.23656
FUE 37,4,0.52188
FUE 38,4,0.15954
FUE 39,4,0.85517
FUE 40,4,0.71889
FUE 41,5,0.5993
FUE 42,5,0.37716
FUE 43,5,0.52764
FUE 44,5,0.28762
FUE 45,5,0.86957
FUE 46,5,0.51285
FUE 47,5,0.12159
FUE 48,5,0.13659
FUE 49,5,0.77351
FUE 50,5,0.96244
FUE 51,6,0.6606
FUE 52,6,0.41779
FUE 53,6,0.23932
FUE 54,6,0.84862
FUE 55,6,0.2852
FUE 56,6,0.67041
FUE 57,6,0.8435
FUE 58,6,0.58411
FUE 59,6,0.067026
FUE 60,6,0.50564
