,FBS,Bid
FUE 1,1,0.7059
FUE 2,1,0.96656
FUE 3,1,0.72812
FUE 4,1,0.83482
FUE 5,1,0.13461
FUE 6,1,0.73262
FUE 7,1,0.47579
FUE 8,1,0.55183
FUE 9,1,0.39481
FUE 10,1,0.34815
FUE 11,1,0.56766
FUE 12,1,0.54697
FUE 13,1,0.036004
FUE 14,2,0.065475
FUE 15,2,0.52269
FUE 16,2,0.24069
FUE 17,2,0.39787
FUE 18,2,0.09003
FUE 19,2,0.51516
FUE 20,2,0.60315
FUE 21,2,0.59009
FUE 22,2,0.52585
FUE 23,2,0.80151
FUE 24,2,0.036694
FUE 25,2,0.17644
FUE 26,2,0.53608
FUE 27,3,0.22436
FUE 28,3,0.62778
FUE 29,3,0.3149
FUE 30,3,0.41848
FUE 31,3,0.28911
FUE 32,3,0.97761
FUE 33,3,0.58705
FUE 34,3,0.76064
FUE 35,3,0.68659
FUE 36,3,0.78546
FUE 37,3,0.65388
FUE 38,3,0.40043
FUE 39,3,0.36343
FUE 40,4,0.1369
FUE 41,4,0.073448
FUE 42,4,0.061758
FUE 43,4,0.65325
FUE 44,4,0.66994
FUE 45,4,0.72624
FUE 46,4,0.68586
FUE 47,4,0.42542
FUE 48,4,0.639
FUE 49,4,0.23676
FUE 50,4,0.29407
FUE 51,4,0.55093
FUE 52,4,0.43863
FUE 53,5,0.52129
FUE 54,5,0.14885
FUE 55,5,0.74903
FUE 56,5,0.72076
FUE 57,5,0.40424
FUE 58,5,0.14817
FUE 59,5,0.05225
FUE 60,5,0.96604
FUE 61,5,0.91641
FUE 62,5,0.14669
FUE 63,5,0.13828
FUE 64,5,0.66439
FUE 65,5,0.62098
FUE 66,6,0.25062
FUE 67,6,0.018382
FUE 68,6,0.6392
FUE 69,6,0.98445
FUE 70,6,0.8419
FUE 71,6,0.77816
FUE 72,6,0.44348
FUE 73,6,0.77584
FUE 74,6,0.20886
FUE 75,6,0.87253
FUE 76,6,0.43777
FUE 77,6,0.78411
FUE 78,6,0.13843
