,FBS,Bid
FUE 1,1,0.037968
FUE 2,1,0.16945
FUE 3,1,0.76818
FUE 4,1,0.88433
FUE 5,1,0.80318
FUE 6,1,0.35964
FUE 7,1,0.39526
FUE 8,1,0.80119
FUE 9,1,0.97988
FUE 10,1,0.96543
FUE 11,1,0.99704
FUE 12,1,0.1255
FUE 13,1,0.81915
FUE 14,1,0.72142
FUE 15,1,0.96327
FUE 16,2,0.57532
FUE 17,2,0.70575
FUE 18,2,0.99554
FUE 19,2,0.17096
FUE 20,2,0.88154
FUE 21,2,0.81843
FUE 22,2,0.97782
FUE 23,2,0.55384
FUE 24,2,0.016972
FUE 25,2,0.5317
FUE 26,2,0.691
FUE 27,2,0.083431
FUE 28,2,0.63616
FUE 29,2,0.94047
FUE 30,2,0.79249
FUE 31,3,0.12797
FUE 32,3,0.086614
FUE 33,3,0.69267
FUE 34,3,0.05287
FUE 35,3,0.18392
FUE 36,3,0.25059
FUE 37,3,0.61853
FUE 38,3,0.39682
FUE 39,3,0.30049
FUE 40,3,0.16722
FUE 41,3,0.41982
FUE 42,3,0.93729
FUE 43,3,0.44993
FUE 44,3,0.27435
FUE 45,3,0.80371
FUE 46,4,0.0086142
FUE 47,4,0.83943
FUE 48,4,0.12835
FUE 49,4,0.61573
FUE 50,4,0.18094
FUE 51,4,0.67825
FUE 52,4,0.12819
FUE 53,4,0.63921
FUE 54,4,0.58991
FUE 55,4,0.48106
FUE 56,4,0.30469
FUE 57,4,0.17393
FUE 58,4,0.090016
FUE 59,4,0.06289
FUE 60,4,0.20264
FUE 61,5,0.4605
FUE 62,5,0.96511
FUE 63,5,0.90508
FUE 64,5,0.83771
FUE 65,5,0.89308
FUE 66,5,0.93948
FUE 67,5,0.78147
FUE 68,5,0.26843
FUE 69,5,0.27908
FUE 70,5,0.29242
FUE 71,5,0.35019
FUE 72,5,0.74778
FUE 73,5,0.20467
FUE 74,5,0.19192
FUE 75,5,0.86903
FUE 76,6,0.93826
FUE 77,6,0.69668
FUE 78,6,0.22311
FUE 79,6,0.75871
FUE 80,6,0.26718
FUE 81,6,0.76276
FUE 82,6,0.83949
FUE 83,6,0.91161
FUE 84,6,0.8548
FUE 85,6,0.82407
FUE 86,6,0.14651
FUE 87,6,0.89138
FUE 88,6,0.89522
FUE 89,6,0.569
FUE 90,6,0.073909
