,FBS,Bid
FUE 1,1,0.33071
FUE 2,1,0.018473
FUE 3,1,0.86622
FUE 4,1,0.90434
FUE 5,1,0.63574
FUE 6,1,0.63982
FUE 7,1,0.60718
FUE 8,1,0.46918
FUE 9,1,0.021052
FUE 10,1,0.15297
FUE 11,1,0.12129
FUE 12,1,0.5659
FUE 13,1,0.1434
FUE 14,2,0.5013
FUE 15,2,0.25904
FUE 16,2,0.98012
FUE 17,2,0.35676
FUE 18,2,0.69218
FUE 19,2,0.62775
FUE 20,2,0.20592
FUE 21,2,0.88342
FUE 22,2,0.33357
FUE 23,2,0.012227
FUE 24,2,0.43803
FUE 25,2,0.87764
FUE 26,2,0.034923
FUE 27,3,0.028349
FUE 28,3,0.26413
FUE 29,3,0.31562
FUE 30,3,0.37409
FUE 31,3,0.17423
FUE 32,3,0.55698
FUE 33,3,0.14553
FUE 34,3,0.15342
FUE 35,3,0.6193
FUE 36,3,0.45422
FUE 37,3,0.40386
FUE 38,3,0.71624
FUE 39,3,0.29953
FUE 40,4,0.8574
FUE 41,4,0.1025
FUE 42,4,0.073766
FUE 43,4,0.89411
FUE 44,4,0.6684
FUE 45,4,0.39364
FUE 46,4,0.54044
FUE 47,4,0.33126
FUE 48,4,0.79222
FUE 49,4,0.074342
FUE 50,4,0.15959
FUE 51,4,0.94173
FUE 52,4,0.94611
FUE 53,5,0.89716
FUE 54,5,0.97499
FUE 55,5,0.65182
FUE 56,5,0.82725
FUE 57,5,0.29393
FUE 58,5,0.40584
FUE 59,5,0.55593
FUE 60,5,0.94294
FUE 61,5,0.2327
FUE 62,5,0.10369
FUE 63,5,0.4889
FUE 64,5,0.49795
FUE 65,5,0.055041
FUE 66,6,0.093065
FUE 67,6,0.10791
FUE 68,6,0.60459
FUE 69,6,0.30964
FUE 70,6,0.61008
FUE 71,6,0.88724
FUE 72,6,0.025287
FUE 73,6,0.67902
FUE 74,6,0.94983
FUE 75,6,0.035366
FUE 76,6,0.26066
FUE 77,6,0.69522
FUE 78,6,0.86452
