,FBS,Bid
FUE 1,1,0.72842
FUE 2,1,0.67172
FUE 3,1,0.13709
FUE 4,1,0.87073
FUE 5,1,0.057778
FUE 6,1,0.26814
FUE 7,1,0.68802
FUE 8,1,0.92835
FUE 9,1,0.38788
FUE 10,1,0.5315
FUE 11,2,0.41035
FUE 12,2,0.57001
FUE 13,2,0.51274
FUE 14,2,0.58077
FUE 15,2,0.98622
FUE 16,2,0.96286
FUE 17,2,0.29401
FUE 18,2,0.020005
FUE 19,2,0.30212
FUE 20,2,0.86462
FUE 21,3,0.64766
FUE 22,3,0.79344
FUE 23,3,0.60117
FUE 24,3,0.71171
FUE 25,3,0.88593
FUE 26,3,0.50216
FUE 27,3,0.44988
FUE 28,3,0.65593
FUE 29,3,0.72637
FUE 30,3,0.17566
FUE 31,4,0.99854
FUE 32,4,0.13411
FUE 33,4,0.67368
FUE 34,4,0.93113
FUE 35,4,0.42487
FUE 36,4,0.40553
FUE 37,4,0.22148
FUE 38,4,0.94985
FUE 39,4,0.58733
FUE 40,4,0.15559
FUE 41,5,0.12374
FUE 42,5,0.78246
FUE 43,5,0.30472
FUE 44,5,0.72073
FUE 45,5,0.11831
FUE 46,5,0.13172
FUE 47,5,0.99143
FUE 48,5,0.1696
FUE 49,5,0.70583
FUE 50,5,0.61637
FUE 51,6,0.62781
FUE 52,6,0.019992
FUE 53,6,0.89027
FUE 54,6,0.082933
FUE 55,6,0.88338
FUE 56,6,0.13321
FUE 57,6,0.71677
FUE 58,6,0.021885
FUE 59,6,0.10291
FUE 60,6,0.81537
