,FBS,Bid
FUE 1,1,0.87396
FUE 2,1,0.40821
FUE 3,1,0.13358
FUE 4,1,0.24838
FUE 5,1,0.26708
FUE 6,1,0.27326
FUE 7,1,0.53036
FUE 8,1,0.39248
FUE 9,1,0.12972
FUE 10,1,0.46781
FUE 11,1,0.15197
FUE 12,2,0.30353
FUE 13,2,0.78584
FUE 14,2,0.45838
FUE 15,2,0.41141
FUE 16,2,0.40245
FUE 17,2,0.041187
FUE 18,2,0.10838
FUE 19,2,0.19115
FUE 20,2,0.30512
FUE 21,2,0.236
FUE 22,2,0.49035
FUE 23,3,0.51211
FUE 24,3,0.2075
FUE 25,3,0.57213
FUE 26,3,0.75459
FUE 27,3,0.16618
FUE 28,3,0.18935
FUE 29,3,0.81684
FUE 30,3,0.2644
FUE 31,3,0.065681
FUE 32,3,0.35511
FUE 33,3,0.50141
FUE 34,4,0.90668
FUE 35,4,0.21551
FUE 36,4,0.14025
FUE 37,4,0.87125
FUE 38,4,0.65697
FUE 39,4,0.62544
FUE 40,4,0.030818
FUE 41,4,0.028111
FUE 42,4,0.77103
FUE 43,4,0.45541
FUE 44,4,0.43913
FUE 45,5,0.35549
FUE 46,5,0.24317
FUE 47,5,0.43127
FUE 48,5,0.69069
FUE 49,5,0.17129
FUE 50,5,0.5846
FUE 51,5,0.63899
FUE 52,5,0.65568
FUE 53,5,0.46919
FUE 54,5,0.68254
FUE 55,5,0.21282
FUE 56,6,0.65231
FUE 57,6,0.1029
FUE 58,6,0.5569
FUE 59,6,0.43949
FUE 60,6,0.0035856
FUE 61,6,0.28323
FUE 62,6,0.066868
FUE 63,6,0.96624
FUE 64,6,0.73478
FUE 65,6,0.29161
FUE 66,6,0.35588
