,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,0.46993,0.60094,0.50559,0.83272,0.64231,0.79007,0.69006,0.62199,0.45897,0.81793,0.68075,0.48229,0.59203,0.76628,0.63348,0.64107,0.60752,0.50163,0.52119,0.54239,0.58824,0.65167,0.59018,0.76596,0.46778,0.68308,0.5399,0.51671,0.44486,0.72461,0.63546,0.65643,0.51364,0.43435,0.67874,0.81
FUE 2,0.63207,0.76299,0.66757,0.99474,0.80432,0.95214,0.85196,0.78404,0.62064,0.97983,0.84271,0.64394,0.75399,0.92783,0.7951,0.80279,0.76942,0.66346,0.68287,0.70422,0.74955,0.81349,0.75192,0.9274,0.62904,0.8448,0.70164,0.67828,0.60611,0.88605,0.79712,0.81809,0.67532,0.59572,0.84041,0.97162
FUE 3,0.36415,0.49494,0.39942,0.72665,0.53621,0.68412,0.5837,0.516,0.35208,0.71158,0.57454,0.37536,0.48582,0.65911,0.52647,0.5343,0.50116,0.39511,0.41433,0.43588,0.48053,0.54513,0.48344,0.65856,0.35997,0.5763,0.43318,0.40959,0.33702,0.61718,0.52853,0.54952,0.40677,0.32679,0.57185,0.703
FUE 4,0.32094,0.45191,0.35653,0.68368,0.49326,0.64105,0.54096,0.47296,0.30977,0.66884,0.53168,0.33308,0.44296,0.61702,0.48426,0.49189,0.45842,0.3525,0.37199,0.39326,0.43888,0.50254,0.44101,0.61666,0.31839,0.5339,0.39073,0.36747,0.29547,0.5753,0.48625,0.50722,0.36444,0.28501,0.52954,0.66078
FUE 5,0.35577,0.48614,0.39029,0.7177,0.52721,0.6754,0.57425,0.50721,0.34168,0.70213,0.56534,0.3649,0.47661,0.64826,0.51587,0.52412,0.49167,0.38536,0.40398,0.42615,0.46881,0.53533,0.4733,0.64732,0.3481,0.56608,0.42306,0.39881,0.32511,0.6059,0.51807,0.53909,0.39639,0.3153,0.56145,0.6924
FUE 6,0.48708,0.61796,0.52251,0.8497,0.65927,0.80711,0.70687,0.63901,0.47546,0.83475,0.69765,0.49876,0.60892,0.78261,0.6499,0.65764,0.62433,0.51834,0.5377,0.55911,0.60424,0.66837,0.60676,0.78215,0.48372,0.69964,0.55649,0.53307,0.46078,0.74078,0.65193,0.67291,0.53014,0.45044,0.69523,0.82643
FUE 7,0.36337,0.49413,0.39859,0.72583,0.53539,0.68331,0.58285,0.51519,0.35116,0.71073,0.5737,0.37444,0.48498,0.65817,0.52554,0.5334,0.5003,0.39424,0.41341,0.43501,0.47952,0.54425,0.48254,0.65758,0.35895,0.57539,0.43228,0.40865,0.336,0.61621,0.52761,0.5486,0.40585,0.32579,0.57093,0.70207
FUE 8,0.3476,0.47898,0.38393,0.71089,0.52053,0.66802,0.56871,0.50002,0.33862,0.69658,0.55916,0.36202,0.47045,0.64647,0.51336,0.52048,0.48621,0.38059,0.40079,0.42133,0.46955,0.53067,0.46955,0.64662,0.3493,0.56254,0.41925,0.39682,0.32644,0.60533,0.5152,0.53612,0.39327,0.31534,0.55839,0.68988
FUE 9,0.34838,0.47703,0.38372,0.71302,0.5228,0.6668,0.56215,0.50021,0.34706,0.68404,0.56049,0.37234,0.46858,0.62504,0.52484,0.49014,0.48546,0.38211,0.40759,0.42128,0.51048,0.52878,0.44807,0.66551,0.37708,0.54278,0.41194,0.3526,0.42502,0.51131,0.49704,0.52161,0.38227,0.33746,0.55347,0.69193
FUE 10,0.3769,0.50526,0.41195,0.74144,0.55121,0.6951,0.59,0.52856,0.37516,0.7117,0.58876,0.40049,0.49669,0.65229,0.55295,0.51739,0.51353,0.41019,0.43564,0.4493,0.53819,0.5567,0.47543,0.69337,0.40423,0.57016,0.43959,0.37973,0.45238,0.53836,0.5244,0.54903,0.40976,0.36511,0.5811,0.71968
FUE 11,0.3234,0.45084,0.35751,0.68762,0.49736,0.64088,0.53443,0.47453,0.32034,0.65559,0.53451,0.34582,0.44192,0.59505,0.49818,0.46017,0.45865,0.35532,0.38068,0.39424,0.48222,0.50135,0.41849,0.63784,0.3467,0.51326,0.38344,0.32216,0.39544,0.4806,0.46744,0.49224,0.35318,0.30898,0.52489,0.66382
FUE 12,0.33064,0.45918,0.36587,0.69524,0.50501,0.64898,0.54416,0.4824,0.32917,0.66598,0.54266,0.35447,0.45069,0.60682,0.50695,0.47193,0.46755,0.36421,0.38968,0.40336,0.49244,0.51082,0.4299,0.64752,0.35883,0.52462,0.39388,0.33434,0.40685,0.49302,0.47887,0.50346,0.36415,0.3194,0.5354,0.67391
FUE 13,0.35817,0.48534,0.392,0.72229,0.53202,0.67544,0.56862,0.50914,0.35474,0.68965,0.56905,0.38026,0.47632,0.62884,0.53259,0.49397,0.49302,0.38971,0.41503,0.42858,0.51632,0.5356,0.45236,0.67204,0.38043,0.54713,0.41749,0.35588,0.4293,0.51428,0.5013,0.52614,0.38713,0.34304,0.55893,0.69794
FUE 14,0.46512,0.59319,0.49987,0.82956,0.63932,0.7831,0.67756,0.61662,0.46297,0.79908,0.67675,0.48835,0.58451,0.73927,0.64077,0.60439,0.60132,0.49798,0.5234,0.53703,0.62562,0.64433,0.56252,0.78094,0.49111,0.65726,0.52695,0.4666,0.53947,0.62516,0.61148,0.63617,0.49698,0.45248,0.66844,0.80714
FUE 15,0.48552,0.61377,0.52046,0.85002,0.65979,0.80364,0.69837,0.63712,0.48363,0.82001,0.6973,0.50898,0.60517,0.76045,0.66143,0.62556,0.62199,0.51865,0.54409,0.55774,0.64652,0.6651,0.58363,0.80175,0.51235,0.67836,0.54789,0.48784,0.56058,0.64645,0.63259,0.65725,0.51801,0.47342,0.68939,0.82802
FUE 16,0.33743,0.46575,0.37244,0.70196,0.51173,0.6556,0.55044,0.48907,0.33564,0.67211,0.54927,0.36097,0.45717,0.61264,0.51343,0.47775,0.47401,0.37066,0.39611,0.40977,0.49861,0.51715,0.4358,0.65381,0.36457,0.53053,0.4,0.34007,0.41276,0.49869,0.48477,0.50941,0.37015,0.32553,0.54151,0.68011
FUE 17,0.32867,0.45839,0.36692,0.69373,0.50354,0.64371,0.54944,0.47791,0.33192,0.66135,0.53901,0.35485,0.43728,0.63528,0.50755,0.48112,0.45679,0.35804,0.38791,0.39345,0.50001,0.49486,0.35352,0.64958,0.40066,0.4295,0.35744,0.28478,0.42508,0.55562,0.39075,0.43798,0.31496,0.32249,0.50951,0.66425
FUE 18,0.32165,0.45151,0.35998,0.68676,0.49657,0.63694,0.54265,0.47109,0.32501,0.65492,0.5322,0.34799,0.43079,0.6287,0.50071,0.47483,0.45026,0.35141,0.38118,0.38693,0.49328,0.48849,0.34745,0.64288,0.39416,0.42342,0.35128,0.2787,0.41851,0.54949,0.38468,0.4319,0.30886,0.31592,0.5033,0.65785
FUE 19,0.3742,0.50355,0.41224,0.73914,0.54894,0.6886,0.59437,0.52295,0.37717,0.70539,0.58401,0.39997,0.48148,0.67969,0.55263,0.52485,0.50107,0.40258,0.4327,0.43771,0.5448,0.53879,0.39674,0.6943,0.44489,0.4727,0.40084,0.32799,0.46946,0.59896,0.43396,0.48121,0.35825,0.36687,0.55301,0.70821
FUE 20,0.36284,0.49115,0.40029,0.72744,0.53721,0.67548,0.58136,0.51021,0.36501,0.6902,0.57117,0.38747,0.46664,0.66536,0.54001,0.50895,0.48644,0.38858,0.41931,0.42304,0.5314,0.52334,0.37977,0.68075,0.43012,0.45571,0.38424,0.31102,0.45507,0.58223,0.41698,0.46428,0.34141,0.35247,0.53665,0.69286
FUE 21,0.34482,0.47273,0.38204,0.70929,0.51905,0.6568,0.56272,0.49168,0.34669,0.67085,0.5526,0.36902,0.4474,0.64629,0.52152,0.48938,0.46726,0.36961,0.40054,0.40385,0.51264,0.50391,0.3599,0.66193,0.41091,0.43583,0.36448,0.29114,0.43598,0.56243,0.3971,0.44441,0.32158,0.33337,0.51694,0.67345
FUE 22,0.36477,0.49428,0.4029,0.72976,0.53956,0.67946,0.58521,0.51374,0.36786,0.69663,0.57482,0.39072,0.47265,0.67076,0.5434,0.51623,0.4922,0.3936,0.4236,0.42885,0.5357,0.53008,0.38834,0.68524,0.43605,0.46431,0.39236,0.3196,0.46055,0.59051,0.42557,0.47281,0.34982,0.35796,0.54449,0.69949
FUE 23,0.34998,0.47886,0.38776,0.71477,0.52456,0.66357,0.5694,0.4981,0.35259,0.67938,0.55912,0.37524,0.45563,0.65409,0.52784,0.49848,0.47532,0.37714,0.40755,0.41195,0.51964,0.51264,0.36983,0.66907,0.41908,0.44579,0.37412,0.30108,0.44383,0.57217,0.40705,0.45432,0.33141,0.34124,0.52641,0.68212
FUE 24,0.34162,0.47002,0.37913,0.70625,0.51603,0.65442,0.56029,0.48912,0.34386,0.66932,0.55009,0.36636,0.44573,0.64441,0.51891,0.48812,0.46551,0.3676,0.39827,0.40211,0.51037,0.50247,0.35903,0.65973,0.40921,0.43497,0.36347,0.29027,0.43412,0.56147,0.39623,0.44353,0.32066,0.33152,0.51586,0.67199
FUE 25,0.33145,0.46244,0.37015,0.69485,0.50453,0.6464,0.55467,0.46805,0.33427,0.67544,0.52457,0.35285,0.40718,0.64376,0.50494,0.5024,0.4087,0.32469,0.37418,0.34202,0.49864,0.41735,0.42173,0.64192,0.4069,0.50386,0.26756,0.363,0.42486,0.59285,0.43716,0.44088,0.27211,0.3107,0.36603,0.6147
FUE 26,0.43514,0.56683,0.47429,0.79932,0.60906,0.75196,0.65947,0.57571,0.43886,0.78187,0.63296,0.45883,0.51784,0.74966,0.61116,0.60948,0.51985,0.43521,0.48283,0.45324,0.60537,0.52889,0.53201,0.74988,0.514,0.61468,0.37917,0.47295,0.53251,0.70196,0.54848,0.55236,0.38368,0.41987,0.47765,0.72601
FUE 27,0.40681,0.53822,0.44578,0.77067,0.58039,0.72286,0.63069,0.5457,0.41017,0.7524,0.60263,0.42955,0.48645,0.72042,0.58178,0.57973,0.48823,0.40389,0.45238,0.42158,0.57577,0.49708,0.5008,0.71974,0.48424,0.58321,0.34732,0.4419,0.50251,0.6713,0.51677,0.52058,0.35185,0.38918,0.4458,0.69431
FUE 28,0.34599,0.47717,0.38481,0.7096,0.51929,0.66143,0.5695,0.4836,0.34905,0.6907,0.5403,0.36799,0.42342,0.65888,0.52014,0.51782,0.42505,0.3409,0.38997,0.35838,0.51397,0.43378,0.43789,0.65755,0.42232,0.52014,0.28401,0.37909,0.44042,0.60875,0.45355,0.4573,0.28855,0.32661,0.38248,0.63109
FUE 29,0.40509,0.53676,0.44423,0.76925,0.57899,0.72185,0.62939,0.54552,0.40879,0.75173,0.60275,0.4287,0.48753,0.71954,0.58103,0.57932,0.48951,0.4049,0.45261,0.4229,0.57521,0.49853,0.50171,0.71968,0.48383,0.58436,0.34881,0.44267,0.50233,0.67171,0.51814,0.52201,0.35333,0.38962,0.4473,0.69566
FUE 30,0.37691,0.50823,0.41583,0.74068,0.55039,0.69273,0.60065,0.51531,0.38016,0.72217,0.57215,0.39937,0.45569,0.69025,0.55157,0.54941,0.45741,0.37315,0.42187,0.39075,0.5455,0.46621,0.47009,0.68932,0.45392,0.55244,0.31645,0.41123,0.47212,0.64073,0.48594,0.48972,0.32098,0.3586,0.41493,0.66347
FUE 31,0.42582,0.55736,0.46488,0.78984,0.59957,0.74225,0.64992,0.56552,0.42935,0.77197,0.62261,0.44902,0.50693,0.73988,0.6013,0.59943,0.50881,0.42433,0.47242,0.44218,0.5954,0.51775,0.52119,0.73963,0.50395,0.60373,0.36801,0.46222,0.52233,0.69143,0.5374,0.54123,0.37253,0.40933,0.46649,0.71493
FUE 32,0.32342,0.45545,0.36279,0.68799,0.49776,0.6412,0.5483,0.46618,0.32759,0.6716,0.52391,0.3483,0.41043,0.6391,0.50076,0.4996,0.41282,0.32768,0.37395,0.34627,0.49526,0.42218,0.4243,0.64053,0.40412,0.50738,0.27253,0.36498,0.42298,0.59339,0.44159,0.44561,0.27701,0.31134,0.37102,0.61911
FUE 33,0.4064,0.5386,0.44538,0.7669,0.5763,0.72588,0.63119,0.55052,0.4084,0.75682,0.58789,0.41654,0.51448,0.72138,0.56692,0.58489,0.51011,0.37152,0.40249,0.4257,0.56486,0.54766,0.52491,0.69019,0.48256,0.61504,0.45155,0.45919,0.49326,0.68037,0.56217,0.57838,0.42967,0.35195,0.57376,0.63243
FUE 34,0.32249,0.45508,0.36187,0.68464,0.49418,0.64275,0.54802,0.46942,0.3257,0.67428,0.51048,0.33736,0.43513,0.6392,0.48817,0.50296,0.43325,0.29596,0.32684,0.34984,0.48584,0.47135,0.44489,0.61366,0.40221,0.53569,0.37447,0.37949,0.41469,0.60051,0.48405,0.50072,0.35249,0.27611,0.49777,0.5572
FUE 35,0.36887,0.50099,0.40776,0.72905,0.53842,0.68819,0.59351,0.51247,0.37063,0.71902,0.54926,0.37818,0.47615,0.68352,0.5285,0.54698,0.47141,0.33264,0.36363,0.38687,0.52647,0.50889,0.48668,0.65144,0.44438,0.5767,0.41288,0.4209,0.4548,0.64211,0.52365,0.53979,0.39101,0.31311,0.53494,0.59351
FUE 36,0.35445,0.48663,0.3934,0.71486,0.52425,0.67388,0.57919,0.49843,0.35638,0.7048,0.53563,0.36437,0.46231,0.66934,0.51473,0.53284,0.45784,0.31919,0.35017,0.37339,0.51267,0.49537,0.47277,0.6379,0.43043,0.56287,0.39929,0.40703,0.44105,0.62822,0.50995,0.52614,0.37741,0.29964,0.52146,0.58009
FUE 37,0.32447,0.45644,0.36321,0.68406,0.49339,0.6435,0.54883,0.46712,0.32579,0.67413,0.50291,0.33228,0.43029,0.63851,0.48248,0.50189,0.42494,0.28589,0.31689,0.34017,0.48052,0.46229,0.441,0.60489,0.3988,0.53085,0.36646,0.37514,0.40874,0.59639,0.47748,0.4935,0.34461,0.26642,0.48828,0.54668
FUE 38,0.43562,0.56796,0.47474,0.79669,0.60614,0.75537,0.66067,0.5807,0.43804,0.78652,0.6192,0.44733,0.54522,0.7512,0.59784,0.61479,0.54158,0.40335,0.4343,0.45746,0.59569,0.57929,0.55543,0.72175,0.51298,0.64577,0.48296,0.48981,0.52423,0.71094,0.59328,0.60962,0.46105,0.38371,0.60548,0.66435
FUE 39,0.39129,0.52358,0.43036,0.75217,0.5616,0.71095,0.61625,0.53605,0.39357,0.74203,0.57416,0.40247,0.50037,0.70667,0.55293,0.57024,0.49648,0.35812,0.38908,0.41226,0.55082,0.53414,0.51066,0.67662,0.46824,0.60093,0.43788,0.44501,0.47931,0.66615,0.54831,0.5646,0.41598,0.33851,0.56029,0.61909
