,FBS,Bid
FUE 1,1,0.84237
FUE 2,1,0.27848
FUE 3,1,0.92907
FUE 4,1,0.6198
FUE 5,1,0.96279
FUE 6,1,0.91484
FUE 7,1,0.0021239
FUE 8,1,0.10691
FUE 9,1,0.25998
FUE 10,1,0.14278
FUE 11,1,0.0059659
FUE 12,1,0.76735
FUE 13,1,0.33695
FUE 14,1,0.010006
FUE 15,1,0.18265
FUE 16,2,0.12602
FUE 17,2,0.49762
FUE 18,2,0.85179
FUE 19,2,0.51821
FUE 20,2,0.93043
FUE 21,2,0.34485
FUE 22,2,0.044706
FUE 23,2,0.80999
FUE 24,2,0.58804
FUE 25,2,0.2216
FUE 26,2,0.55815
FUE 27,2,0.50172
FUE 28,2,0.48027
FUE 29,2,0.17708
FUE 30,2,0.54936
FUE 31,3,0.48693
FUE 32,3,0.24889
FUE 33,3,0.52789
FUE 34,3,0.87811
FUE 35,3,0.2282
FUE 36,3,0.075543
FUE 37,3,0.99879
FUE 38,3,0.52566
FUE 39,3,0.084035
FUE 40,3,0.59506
FUE 41,3,0.26849
FUE 42,3,0.038384
FUE 43,3,0.12714
FUE 44,3,0.64294
FUE 45,3,0.67065
FUE 46,4,0.11593
FUE 47,4,0.90337
FUE 48,4,0.94543
FUE 49,4,0.41111
FUE 50,4,0.085003
FUE 51,4,0.83097
FUE 52,4,0.73749
FUE 53,4,0.88127
FUE 54,4,0.01244
FUE 55,4,0.22672
FUE 56,4,0.48899
FUE 57,4,0.89784
FUE 58,4,0.32735
FUE 59,4,0.28238
FUE 60,4,0.64934
FUE 61,5,0.35199
FUE 62,5,0.76775
FUE 63,5,0.84413
FUE 64,5,0.75289
FUE 65,5,0.34686
FUE 66,5,0.0064777
FUE 67,5,0.91944
FUE 68,5,0.041904
FUE 69,5,0.2641
FUE 70,5,0.94323
FUE 71,5,0.39587
FUE 72,5,0.84127
FUE 73,5,0.63526
FUE 74,5,0.47469
FUE 75,5,0.86194
FUE 76,6,0.0093281
FUE 77,6,0.5921
FUE 78,6,0.82402
FUE 79,6,0.6098
FUE 80,6,0.30745
FUE 81,6,0.42253
FUE 82,6,0.19111
FUE 83,6,0.080523
FUE 84,6,0.22716
FUE 85,6,0.017518
FUE 86,6,0.71176
FUE 87,6,0.32123
FUE 88,6,0.47108
FUE 89,6,0.24371
FUE 90,6,0.60582
