,FBS,Bid
FUE 1,1,0.7608
FUE 2,1,0.037496
FUE 3,1,0.027009
FUE 4,1,0.47996
FUE 5,1,0.57547
FUE 6,1,0.074981
FUE 7,1,0.64132
FUE 8,1,0.35873
FUE 9,1,0.6329
FUE 10,1,0.64727
FUE 11,1,0.47842
FUE 12,1,0.95818
FUE 13,1,0.20885
FUE 14,1,0.98836
FUE 15,1,0.029579
FUE 16,2,0.11782
FUE 17,2,0.93691
FUE 18,2,0.46824
FUE 19,2,0.47515
FUE 20,2,0.23964
FUE 21,2,0.18949
FUE 22,2,0.55145
FUE 23,2,0.47629
FUE 24,2,0.50475
FUE 25,2,0.0006905
FUE 26,2,0.10929
FUE 27,2,0.13798
FUE 28,2,0.2176
FUE 29,2,0.42312
FUE 30,2,0.53226
FUE 31,3,0.067699
FUE 32,3,0.42997
FUE 33,3,0.71021
FUE 34,3,0.31994
FUE 35,3,0.84708
FUE 36,3,0.93613
FUE 37,3,0.35164
FUE 38,3,0.70884
FUE 39,3,0.716
FUE 40,3,0.53318
FUE 41,3,0.44939
FUE 42,3,0.79286
FUE 43,3,0.83326
FUE 44,3,0.21198
FUE 45,3,0.89358
FUE 46,4,0.75009
FUE 47,4,0.1931
FUE 48,4,0.86787
FUE 49,4,0.20789
FUE 50,4,0.11807
FUE 51,4,0.54879
FUE 52,4,0.92032
FUE 53,4,0.20561
FUE 54,4,0.58535
FUE 55,4,0.81827
FUE 56,4,0.11935
FUE 57,4,0.6398
FUE 58,4,0.30236
FUE 59,4,0.064089
FUE 60,4,0.36078
FUE 61,5,0.63677
FUE 62,5,0.93818
FUE 63,5,0.20877
FUE 64,5,0.66548
FUE 65,5,0.61474
FUE 66,5,0.78427
FUE 67,5,0.6723
FUE 68,5,0.48962
FUE 69,5,0.075128
FUE 70,5,0.42373
FUE 71,5,0.33879
FUE 72,5,0.54585
FUE 73,5,0.69467
FUE 74,5,0.15939
FUE 75,5,0.6867
FUE 76,6,0.082553
FUE 77,6,0.36198
FUE 78,6,0.79663
FUE 79,6,0.17327
FUE 80,6,0.11064
FUE 81,6,0.4623
FUE 82,6,0.095057
FUE 83,6,0.71711
FUE 84,6,0.00057473
FUE 85,6,0.62169
FUE 86,6,0.21757
FUE 87,6,0.1838
FUE 88,6,0.30404
FUE 89,6,0.12367
FUE 90,6,0.46332
