,FBS,Bid
FUE 1,1,0.43199
FUE 2,1,0.8525
FUE 3,1,0.888
FUE 4,1,0.57296
FUE 5,1,0.28576
FUE 6,1,0.27465
FUE 7,1,0.59097
FUE 8,1,0.81918
FUE 9,1,0.05108
FUE 10,1,0.30273
FUE 11,1,0.51249
FUE 12,1,0.36174
FUE 13,1,0.84854
FUE 14,1,0.50755
FUE 15,1,0.63825
FUE 16,2,0.79049
FUE 17,2,0.74563
FUE 18,2,0.16541
FUE 19,2,0.78933
FUE 20,2,0.26801
FUE 21,2,0.26588
FUE 22,2,0.19575
FUE 23,2,0.37183
FUE 24,2,0.87347
FUE 25,2,0.22273
FUE 26,2,0.48347
FUE 27,2,0.97532
FUE 28,2,0.51972
FUE 29,2,0.75417
FUE 30,2,0.60464
FUE 31,3,0.63438
FUE 32,3,0.02317
FUE 33,3,0.92206
FUE 34,3,0.1422
FUE 35,3,0.67724
FUE 36,3,0.32445
FUE 37,3,0.82233
FUE 38,3,0.30979
FUE 39,3,0.33815
FUE 40,3,0.23798
FUE 41,3,0.20098
FUE 42,3,0.5349
FUE 43,3,0.91784
FUE 44,3,0.15947
FUE 45,3,0.5509
FUE 46,4,0.32549
FUE 47,4,0.18979
FUE 48,4,0.56508
FUE 49,4,0.3156
FUE 50,4,0.19896
FUE 51,4,0.14279
FUE 52,4,0.033798
FUE 53,4,0.040266
FUE 54,4,0.6347
FUE 55,4,0.52657
FUE 56,4,0.16611
FUE 57,4,0.13931
FUE 58,4,0.74038
FUE 59,4,0.578
FUE 60,4,0.41598
FUE 61,5,0.5652
FUE 62,5,0.84066
FUE 63,5,0.62206
FUE 64,5,0.53574
FUE 65,5,0.32258
FUE 66,5,0.94164
FUE 67,5,0.98586
FUE 68,5,0.046209
FUE 69,5,0.20679
FUE 70,5,0.98912
FUE 71,5,0.9066
FUE 72,5,0.61502
FUE 73,5,0.52135
FUE 74,5,0.86441
FUE 75,5,0.16677
FUE 76,6,0.5702
FUE 77,6,0.91677
FUE 78,6,0.077641
FUE 79,6,0.91224
FUE 80,6,0.77436
FUE 81,6,0.41369
FUE 82,6,0.61052
FUE 83,6,0.84145
FUE 84,6,0.55439
FUE 85,6,0.50012
FUE 86,6,0.73901
FUE 87,6,0.48968
FUE 88,6,0.86536
FUE 89,6,0.2207
FUE 90,6,0.12089
