,FBS,Bid
FUE 1,1,0.52502
FUE 2,1,0.36109
FUE 3,1,0.082111
FUE 4,1,0.44189
FUE 5,1,0.82909
FUE 6,1,0.19619
FUE 7,1,0.028744
FUE 8,1,0.16482
FUE 9,1,0.60389
FUE 10,1,0.1843
FUE 11,1,0.58343
FUE 12,1,0.33733
FUE 13,2,0.29496
FUE 14,2,0.19807
FUE 15,2,0.71151
FUE 16,2,0.85216
FUE 17,2,0.81488
FUE 18,2,0.61869
FUE 19,2,0.69228
FUE 20,2,0.32357
FUE 21,2,0.23446
FUE 22,2,0.43096
FUE 23,2,0.037123
FUE 24,2,0.46103
FUE 25,3,0.29141
FUE 26,3,0.16668
FUE 27,3,0.014907
FUE 28,3,0.42478
FUE 29,3,0.453
FUE 30,3,0.43245
FUE 31,3,0.56484
FUE 32,3,0.12265
FUE 33,3,0.10602
FUE 34,3,0.053726
FUE 35,3,0.61412
FUE 36,3,0.43679
FUE 37,4,0.30528
FUE 38,4,0.62289
FUE 39,4,0.64293
FUE 40,4,0.46068
FUE 41,4,0.34997
FUE 42,4,0.89145
FUE 43,4,0.062886
FUE 44,4,0.38615
FUE 45,4,0.72732
FUE 46,4,0.15786
FUE 47,4,0.35773
FUE 48,4,0.076855
FUE 49,5,0.33605
FUE 50,5,0.61885
FUE 51,5,0.76609
FUE 52,5,0.91883
FUE 53,5,0.95381
FUE 54,5,0.28112
FUE 55,5,0.98498
FUE 56,5,0.46671
FUE 57,5,0.014341
FUE 58,5,0.12077
FUE 59,5,0.47211
FUE 60,5,0.36246
FUE 61,6,0.92319
FUE 62,6,0.5808
FUE 63,6,0.7475
FUE 64,6,0.91239
FUE 65,6,0.35374
FUE 66,6,0.45659
FUE 67,6,0.59926
FUE 68,6,0.3517
FUE 69,6,0.17745
FUE 70,6,0.028609
FUE 71,6,0.33739
FUE 72,6,0.77606
