,FBS,Bid
FUE 1,1,0.26363
FUE 2,1,0.26312
FUE 3,1,0.69953
FUE 4,1,0.056731
FUE 5,1,0.78872
FUE 6,1,0.2923
FUE 7,1,0.83944
FUE 8,1,0.48463
FUE 9,2,0.23348
FUE 10,2,0.22054
FUE 11,2,0.31429
FUE 12,2,0.99543
FUE 13,2,0.18913
FUE 14,2,0.85049
FUE 15,2,0.8439
FUE 16,2,0.52832
FUE 17,3,0.66487
FUE 18,3,0.36962
FUE 19,3,0.31744
FUE 20,3,0.81032
FUE 21,3,0.10262
FUE 22,3,0.21276
FUE 23,3,0.44642
FUE 24,3,0.38655
FUE 25,4,0.77465
FUE 26,4,0.47423
FUE 27,4,0.79679
FUE 28,4,0.024859
FUE 29,4,0.99914
FUE 30,4,0.28305
FUE 31,4,0.76782
FUE 32,4,0.035064
FUE 33,5,0.87036
FUE 34,5,0.74294
FUE 35,5,0.10929
FUE 36,5,0.86662
FUE 37,5,0.82153
FUE 38,5,0.0037918
FUE 39,5,0.66026
FUE 40,5,0.63236
FUE 41,6,0.21048
FUE 42,6,0.43495
FUE 43,6,0.93311
FUE 44,6,0.45728
FUE 45,6,0.11003
FUE 46,6,0.67989
FUE 47,6,0.97173
FUE 48,6,0.43538
