,FBS,Bid
FUE 1,1,0.2627
FUE 2,1,0.6568
FUE 3,1,0.41641
FUE 4,1,0.26851
FUE 5,1,0.50949
FUE 6,1,0.27192
FUE 7,1,0.78352
FUE 8,1,0.15142
FUE 9,1,0.43771
FUE 10,1,0.61746
FUE 11,2,0.75857
FUE 12,2,0.45425
FUE 13,2,0.49293
FUE 14,2,0.43856
FUE 15,2,0.48085
FUE 16,2,0.42545
FUE 17,2,0.27433
FUE 18,2,0.36322
FUE 19,2,0.57565
FUE 20,2,0.68595
FUE 21,3,0.86201
FUE 22,3,0.33539
FUE 23,3,0.085151
FUE 24,3,0.78234
FUE 25,3,0.53803
FUE 26,3,0.57014
FUE 27,3,0.63347
FUE 28,3,0.24171
FUE 29,3,0.57699
FUE 30,3,0.76072
FUE 31,4,0.52861
FUE 32,4,0.042624
FUE 33,4,0.26328
FUE 34,4,0.32866
FUE 35,4,0.60574
FUE 36,4,0.1124
FUE 37,4,0.34189
FUE 38,4,0.64168
FUE 39,4,0.15602
FUE 40,4,0.23339
FUE 41,5,0.87234
FUE 42,5,0.3747
FUE 43,5,0.2319
FUE 44,5,0.82583
FUE 45,5,0.86213
FUE 46,5,0.052994
FUE 47,5,0.49438
FUE 48,5,0.70994
FUE 49,5,0.56878
FUE 50,5,0.84829
FUE 51,6,0.119
FUE 52,6,0.80004
FUE 53,6,0.37598
FUE 54,6,0.98926
FUE 55,6,0.87575
FUE 56,6,0.86066
FUE 57,6,0.98238
FUE 58,6,0.090642
FUE 59,6,0.42779
FUE 60,6,0.52043
