,FBS,Bid
FUE 1,1,0.65513
FUE 2,1,0.43872
FUE 3,1,0.81537
FUE 4,1,0.8799
FUE 5,1,0.90294
FUE 6,1,0.99217
FUE 7,1,0.23653
FUE 8,1,0.73322
FUE 9,1,0.2459
FUE 10,1,0.83332
FUE 11,1,0.50661
FUE 12,1,0.15878
FUE 13,2,0.88021
FUE 14,2,0.96973
FUE 15,2,0.52732
FUE 16,2,0.16231
FUE 17,2,0.52137
FUE 18,2,0.60096
FUE 19,2,0.084385
FUE 20,2,0.99751
FUE 21,2,0.14396
FUE 22,2,0.75893
FUE 23,2,0.95665
FUE 24,2,0.073367
FUE 25,3,0.040312
FUE 26,3,0.2392
FUE 27,3,0.6207
FUE 28,3,0.38052
FUE 29,3,0.78086
FUE 30,3,0.6351
FUE 31,3,0.46054
FUE 32,3,0.99835
FUE 33,3,0.84126
FUE 34,3,0.64039
FUE 35,3,0.44067
FUE 36,3,0.099082
FUE 37,4,0.21731
FUE 38,4,0.0033436
FUE 39,4,0.84375
FUE 40,4,0.76705
FUE 41,4,0.8083
FUE 42,4,0.19243
FUE 43,4,0.75467
FUE 44,4,0.68725
FUE 45,4,0.58155
FUE 46,4,0.66135
FUE 47,4,0.73528
FUE 48,4,0.26626
FUE 49,5,0.44337
FUE 50,5,0.51707
FUE 51,5,0.40174
FUE 52,5,0.97838
FUE 53,5,0.96838
FUE 54,5,0.23045
FUE 55,5,0.14056
FUE 56,5,0.87324
FUE 57,5,0.20893
FUE 58,5,0.50593
FUE 59,5,0.52836
FUE 60,5,0.36206
FUE 61,6,0.72059
FUE 62,6,0.20777
FUE 63,6,0.99466
FUE 64,6,0.97243
FUE 65,6,0.6458
FUE 66,6,0.27009
FUE 67,6,0.93831
FUE 68,6,0.9198
FUE 69,6,0.68803
FUE 70,6,0.30726
FUE 71,6,0.066926
FUE 72,6,0.20486
