,FBS,Bid
FUE 1,1,0.17421
FUE 2,1,0.73524
FUE 3,1,0.65081
FUE 4,1,0.81534
FUE 5,1,0.94254
FUE 6,1,0.10904
FUE 7,1,0.73679
FUE 8,1,0.61253
FUE 9,1,0.31807
FUE 10,2,0.7886
FUE 11,2,0.073599
FUE 12,2,0.32133
FUE 13,2,0.026241
FUE 14,2,0.4714
FUE 15,2,0.67401
FUE 16,2,0.21607
FUE 17,2,0.87374
FUE 18,2,0.36206
FUE 19,3,0.66528
FUE 20,3,0.63319
FUE 21,3,0.13534
FUE 22,3,0.21165
FUE 23,3,0.13304
FUE 24,3,0.80549
FUE 25,3,0.072528
FUE 26,3,0.037639
FUE 27,3,0.79635
FUE 28,4,0.0065259
FUE 29,4,0.053864
FUE 30,4,0.70723
FUE 31,4,0.46019
FUE 32,4,0.69994
FUE 33,4,0.10762
FUE 34,4,0.86846
FUE 35,4,0.8163
FUE 36,4,0.66517
FUE 37,5,0.61488
FUE 38,5,0.99902
FUE 39,5,0.026846
FUE 40,5,0.78223
FUE 41,5,0.67138
FUE 42,5,0.90256
FUE 43,5,0.71968
FUE 44,5,0.073846
FUE 45,5,0.41926
FUE 46,6,0.90894
FUE 47,6,0.14811
FUE 48,6,0.090837
FUE 49,6,0.50799
FUE 50,6,0.4414
FUE 51,6,0.83252
FUE 52,6,0.035773
FUE 53,6,0.083227
FUE 54,6,0.98795
