,FBS,Bid
FUE 1,1,0.017674
FUE 2,1,0.033375
FUE 3,1,0.95709
FUE 4,1,0.05922
FUE 5,1,0.96039
FUE 6,1,0.10596
FUE 7,1,0.29293
FUE 8,1,0.8855
FUE 9,1,0.47195
FUE 10,1,0.20886
FUE 11,1,0.62308
FUE 12,1,0.71252
FUE 13,1,0.78424
FUE 14,1,0.60456
FUE 15,1,0.34444
FUE 16,2,0.24664
FUE 17,2,0.67043
FUE 18,2,0.49499
FUE 19,2,0.55242
FUE 20,2,0.95333
FUE 21,2,0.77311
FUE 22,2,0.70876
FUE 23,2,0.42928
FUE 24,2,0.20865
FUE 25,2,0.91718
FUE 26,2,0.77248
FUE 27,2,0.22512
FUE 28,2,0.9172
FUE 29,2,0.087441
FUE 30,2,0.60529
FUE 31,3,0.46619
FUE 32,3,0.71023
FUE 33,3,0.8969
FUE 34,3,0.55678
FUE 35,3,0.10998
FUE 36,3,0.2269
FUE 37,3,0.69879
FUE 38,3,0.2049
FUE 39,3,0.86609
FUE 40,3,0.75519
FUE 41,3,0.2757
FUE 42,3,0.088928
FUE 43,3,0.75139
FUE 44,3,0.22058
FUE 45,3,0.64015
FUE 46,4,0.17153
FUE 47,4,0.67325
FUE 48,4,0.37213
FUE 49,4,0.81768
FUE 50,4,0.91012
FUE 51,4,0.66383
FUE 52,4,0.6779
FUE 53,4,0.91825
FUE 54,4,0.67046
FUE 55,4,0.36737
FUE 56,4,0.41904
FUE 57,4,0.95225
FUE 58,4,0.72915
FUE 59,4,0.87756
FUE 60,4,0.78014
FUE 61,5,0.26666
FUE 62,5,0.28132
FUE 63,5,0.11112
FUE 64,5,0.085398
FUE 65,5,0.15752
FUE 66,5,0.58686
FUE 67,5,0.89504
FUE 68,5,0.2536
FUE 69,5,0.041603
FUE 70,5,0.91521
FUE 71,5,0.25962
FUE 72,5,0.15054
FUE 73,5,0.13198
FUE 74,5,0.36323
FUE 75,5,0.94932
FUE 76,6,0.71663
FUE 77,6,0.86008
FUE 78,6,0.49467
FUE 79,6,0.17495
FUE 80,6,0.48957
FUE 81,6,0.46261
FUE 82,6,0.48442
FUE 83,6,0.22556
FUE 84,6,0.31951
FUE 85,6,0.85586
FUE 86,6,0.37445
FUE 87,6,0.1276
FUE 88,6,0.74504
FUE 89,6,0.19311
FUE 90,6,0.67335
