,FBS,Bid
FUE 1,1,0.85489
FUE 2,1,0.0090151
FUE 3,1,0.20259
FUE 4,1,0.8806
FUE 5,1,0.21805
FUE 6,1,0.31769
FUE 7,1,0.34396
FUE 8,1,0.80008
FUE 9,2,0.57108
FUE 10,2,0.81324
FUE 11,2,0.08618
FUE 12,2,0.19214
FUE 13,2,0.6295
FUE 14,2,0.063863
FUE 15,2,0.74296
FUE 16,2,0.6034
FUE 17,3,0.79844
FUE 18,3,0.16059
FUE 19,3,0.73793
FUE 20,3,0.75704
FUE 21,3,0.88131
FUE 22,3,0.42924
FUE 23,3,0.18748
FUE 24,3,0.30303
FUE 25,4,0.32076
FUE 26,4,0.44201
FUE 27,4,0.36188
FUE 28,4,0.6256
FUE 29,4,0.93883
FUE 30,4,0.2869
FUE 31,4,0.2446
FUE 32,4,0.92085
FUE 33,5,0.92622
FUE 34,5,0.30994
FUE 35,5,0.076475
FUE 36,5,0.78088
FUE 37,5,0.13075
FUE 38,5,0.46148
FUE 39,5,0.44017
FUE 40,5,0.605
FUE 41,6,0.12702
FUE 42,6,0.59904
FUE 43,6,0.13213
FUE 44,6,0.11534
FUE 45,6,0.44107
FUE 46,6,0.2711
FUE 47,6,0.94411
FUE 48,6,0.51664
