,FBS,Bid
FUE 1,1,0.045004
FUE 2,1,0.84203
FUE 3,1,0.16471
FUE 4,1,0.11507
FUE 5,1,0.27156
FUE 6,1,0.31439
FUE 7,1,0.60609
FUE 8,1,0.67747
FUE 9,2,0.98764
FUE 10,2,0.99326
FUE 11,2,0.75754
FUE 12,2,0.27506
FUE 13,2,0.95401
FUE 14,2,0.41108
FUE 15,2,0.21662
FUE 16,2,0.62913
FUE 17,3,0.014869
FUE 18,3,0.0433
FUE 19,3,0.18026
FUE 20,3,0.20047
FUE 21,3,0.71936
FUE 22,3,0.44287
FUE 23,3,0.84549
FUE 24,3,0.38979
FUE 25,4,0.83755
FUE 26,4,0.74842
FUE 27,4,0.58386
FUE 28,4,0.16057
FUE 29,4,0.52884
FUE 30,4,0.46267
FUE 31,4,0.37954
FUE 32,4,0.09323
FUE 33,5,0.25915
FUE 34,5,0.33584
FUE 35,5,0.37511
FUE 36,5,0.14626
FUE 37,5,0.31677
FUE 38,5,0.28123
FUE 39,5,0.82012
FUE 40,5,0.34209
FUE 41,6,0.872
FUE 42,6,0.26803
FUE 43,6,0.77543
FUE 44,6,0.60921
FUE 45,6,0.017969
FUE 46,6,0.70151
FUE 47,6,0.015752
FUE 48,6,0.68389
