,FBS,Bid
FUE 1,1,0.65745
FUE 2,1,0.35804
FUE 3,1,0.57757
FUE 4,1,0.48523
FUE 5,1,0.14929
FUE 6,1,0.44724
FUE 7,1,0.72165
FUE 8,1,0.0033364
FUE 9,1,0.8226
FUE 10,1,0.21625
FUE 11,1,0.91856
FUE 12,2,0.08266
FUE 13,2,0.3792
FUE 14,2,0.39698
FUE 15,2,0.1107
FUE 16,2,0.73646
FUE 17,2,0.14171
FUE 18,2,0.20269
FUE 19,2,0.79888
FUE 20,2,0.78789
FUE 21,2,0.25823
FUE 22,2,0.88137
FUE 23,3,0.28698
FUE 24,3,0.61821
FUE 25,3,0.93524
FUE 26,3,0.66909
FUE 27,3,0.46435
FUE 28,3,0.56087
FUE 29,3,0.3339
FUE 30,3,0.45606
FUE 31,3,0.71266
FUE 32,3,0.35022
FUE 33,3,0.051756
FUE 34,4,0.32924
FUE 35,4,0.0073662
FUE 36,4,0.41789
FUE 37,4,0.028216
FUE 38,4,0.68961
FUE 39,4,0.1048
FUE 40,4,0.54449
FUE 41,4,0.83316
FUE 42,4,0.42381
FUE 43,4,0.87928
FUE 44,4,0.22594
FUE 45,5,0.04839
FUE 46,5,0.035391
FUE 47,5,0.62302
FUE 48,5,0.60058
FUE 49,5,0.75564
FUE 50,5,0.59446
FUE 51,5,0.51899
FUE 52,5,0.93107
FUE 53,5,0.24992
FUE 54,5,0.875
FUE 55,5,0.61575
FUE 56,6,0.81718
FUE 57,6,0.36766
FUE 58,6,0.30547
FUE 59,6,0.80672
FUE 60,6,0.608
FUE 61,6,0.14705
FUE 62,6,0.052691
FUE 63,6,0.53587
FUE 64,6,0.19348
FUE 65,6,0.32811
FUE 66,6,0.73152
