,FBS,Bid
FUE 1,1,0.15809
FUE 2,1,0.69851
FUE 3,1,0.42457
FUE 4,1,0.12079
FUE 5,1,0.4552
FUE 6,1,0.31419
FUE 7,1,0.53311
FUE 8,1,0.12138
FUE 9,1,0.68957
FUE 10,1,0.6846
FUE 11,1,0.8123
FUE 12,1,0.081272
FUE 13,1,0.097944
FUE 14,2,0.31711
FUE 15,2,0.65893
FUE 16,2,0.502
FUE 17,2,0.43468
FUE 18,2,0.82671
FUE 19,2,0.47553
FUE 20,2,0.87298
FUE 21,2,0.12036
FUE 22,2,0.6976
FUE 23,2,0.53796
FUE 24,2,0.1902
FUE 25,2,0.27124
FUE 26,2,0.72473
FUE 27,3,0.86929
FUE 28,3,0.85765
FUE 29,3,0.21965
FUE 30,3,0.8517
FUE 31,3,0.57875
FUE 32,3,0.43385
FUE 33,3,0.1972
FUE 34,3,0.84332
FUE 35,3,0.25324
FUE 36,3,0.96403
FUE 37,3,0.98415
FUE 38,3,0.87704
FUE 39,3,0.51095
FUE 40,4,0.0072859
FUE 41,4,0.50664
FUE 42,4,0.070793
FUE 43,4,0.4116
FUE 44,4,0.4964
FUE 45,4,0.3863
FUE 46,4,0.83064
FUE 47,4,0.23271
FUE 48,4,0.58364
FUE 49,4,0.95676
FUE 50,4,0.50456
FUE 51,4,0.31709
FUE 52,4,0.5666
FUE 53,5,0.025783
FUE 54,5,0.7146
FUE 55,5,0.49901
FUE 56,5,0.053314
FUE 57,5,0.061686
FUE 58,5,0.2344
FUE 59,5,0.043135
FUE 60,5,0.72585
FUE 61,5,0.99593
FUE 62,5,0.63721
FUE 63,5,0.73867
FUE 64,5,0.21702
FUE 65,5,0.97274
FUE 66,6,0.47045
FUE 67,6,0.40287
FUE 68,6,0.74159
FUE 69,6,0.41745
FUE 70,6,0.14527
FUE 71,6,0.6049
FUE 72,6,0.80091
FUE 73,6,0.35668
FUE 74,6,0.43629
FUE 75,6,0.17203
FUE 76,6,0.74864
FUE 77,6,0.77949
FUE 78,6,0.05222
