,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,76.5287,76.5285,76.5273,76.5264,76.5225,76.401,76.2125,75.9987,76.2721,75.1606,75.8038,74.8524,75.4702,75.5129,75.0064,68.4148,74.6876,62.543,61.8371,73.2149,59.0274,60.5725,69.2313,62.3008,70.7623,73.4971,57.7438,60.5911,71.5227,72.7775,67.8411,72.1698,69.8788,71.1026,72.0741,71.3562
FUE 2,60.1845,60.1843,60.1832,60.1823,60.1786,60.0623,59.8818,59.6765,59.9389,58.8684,59.489,58.5699,59.1675,59.2087,58.7191,52.2353,58.41,46.3862,45.6816,56.9739,42.8751,44.4187,53.0455,46.1445,54.5608,57.25,41.5924,44.4372,55.3113,56.5453,51.6654,55.9483,53.687,54.897,55.8543,55.1471
FUE 3,59.4382,59.438,59.437,59.4361,59.4326,59.3218,59.1494,58.9531,59.204,58.1763,58.7734,57.8881,58.4645,58.5041,58.0322,51.6656,57.7334,45.8422,45.1389,56.3367,42.336,43.8779,52.4688,45.6009,53.9669,56.6062,41.0543,43.8964,54.7063,55.9176,51.1,55.3324,53.1037,54.2983,55.2401,54.5447
FUE 4,58.0255,58.0253,58.024,58.0229,58.0186,57.8819,57.6709,57.4328,57.7375,56.5113,57.2169,56.1766,56.8497,56.8965,56.3436,49.4698,55.9985,43.5415,42.8327,54.4276,40.0151,41.5639,50.3023,43.2983,51.8726,54.726,38.7292,41.5825,52.6587,53.9673,48.8867,53.3315,50.9647,52.2239,53.2318,52.4861
FUE 5,60.7506,60.7505,60.7495,60.7488,60.7457,60.6491,60.4982,60.3254,60.546,59.633,60.1664,59.3728,59.8915,59.9269,59.5032,53.4742,59.2325,47.7292,47.0301,57.9463,44.2386,45.7751,54.256,47.4894,55.7024,58.1969,42.9601,45.7935,56.4093,57.5544,52.9214,57.0034,54.8711,56.0199,56.9161,56.2552
FUE 6,55.1557,55.1555,55.1547,55.154,55.1511,55.0606,54.919,54.7565,54.9639,54.1018,54.6067,53.8543,54.3468,54.3803,53.9783,48.1118,53.7205,42.4074,41.7105,52.486,38.9251,40.4587,48.8828,42.1685,50.3033,52.7277,37.6482,40.4771,50.9941,52.1071,47.5656,51.5726,49.4879,50.6139,51.4877,50.8438
FUE 7,62.4477,62.4475,62.4466,62.4459,62.4428,62.3454,62.1932,62.0191,62.2415,61.322,61.859,61.0601,61.5821,61.6177,61.1913,55.1421,60.919,49.3923,48.6929,59.6263,45.9008,47.4376,55.9253,49.1524,57.3749,59.8781,44.622,47.456,58.0837,59.2328,54.5886,58.6798,56.5416,57.6932,58.5921,57.9292
FUE 8,66.7042,66.704,66.7028,66.7018,66.6978,66.5705,66.3735,66.1504,66.4357,65.2803,65.9474,64.9618,65.6009,65.6452,65.1208,58.4178,64.7918,52.5231,51.8161,63.2807,49.0032,50.5497,59.2407,52.2805,60.7874,63.5693,47.7186,50.5683,61.5581,62.8343,57.8403,62.2154,59.8941,61.1322,62.1182,61.3892
FUE 9,72.4758,72.4756,72.4742,72.4731,72.4689,72.3112,72.2841,72.158,72.2623,71.7661,71.6315,71.4998,71.4708,70.7959,68.3118,66.9772,67.4836,63.7691,67.6875,61.9329,66.7451,62.0547,69.5508,59.434,52.288,65.4732,55.6218,66.8149,69.1368,64.814,68.2367,62.8774,68.6035,58.5799,62.658,68.8248
FUE 10,58.5164,58.5163,58.5153,58.5145,58.5115,58.3982,58.3786,58.2871,58.3628,57.9979,57.8971,57.7977,57.7756,57.2541,55.1942,54.0151,54.4674,51.0432,54.6479,49.2843,53.806,49.4018,56.2466,46.8506,39.7734,52.6419,43.0881,53.869,55.9,52.0282,55.129,50.1929,55.446,46.0117,49.9825,55.6354
