,FBS,Bid
FUE 1,1,0.66154
FUE 2,1,0.94979
FUE 3,1,0.29843
FUE 4,1,0.13671
FUE 5,1,0.96047
FUE 6,1,0.17008
FUE 7,1,0.7099
FUE 8,1,0.66035
FUE 9,1,0.40734
FUE 10,1,0.94747
FUE 11,1,0.94051
FUE 12,1,0.55052
FUE 13,1,0.95366
FUE 14,1,0.47816
FUE 15,1,0.57846
FUE 16,2,0.079259
FUE 17,2,0.22769
FUE 18,2,0.8545
FUE 19,2,0.83001
FUE 20,2,0.081448
FUE 21,2,0.25578
FUE 22,2,0.55864
FUE 23,2,0.67863
FUE 24,2,0.83517
FUE 25,2,0.76894
FUE 26,2,0.68439
FUE 27,2,0.95383
FUE 28,2,0.48585
FUE 29,2,0.01102
FUE 30,2,0.36904
FUE 31,3,0.761
FUE 32,3,0.94237
FUE 33,3,0.50092
FUE 34,3,0.95564
FUE 35,3,0.82377
FUE 36,3,0.92103
FUE 37,3,0.27845
FUE 38,3,0.37819
FUE 39,3,0.46027
FUE 40,3,0.5715
FUE 41,3,0.36566
FUE 42,3,0.10417
FUE 43,3,0.13793
FUE 44,3,0.14964
FUE 45,3,0.16189
FUE 46,4,0.88687
FUE 47,4,0.72324
FUE 48,4,0.32793
FUE 49,4,0.6766
FUE 50,4,0.17222
FUE 51,4,0.51546
FUE 52,4,0.11724
FUE 53,4,0.11182
FUE 54,4,0.53621
FUE 55,4,0.65817
FUE 56,4,0.43375
FUE 57,4,0.52259
FUE 58,4,0.18174
FUE 59,4,0.0071935
FUE 60,4,0.64623
FUE 61,5,0.38502
FUE 62,5,0.46037
FUE 63,5,0.022916
FUE 64,5,0.50787
FUE 65,5,0.3485
FUE 66,5,0.20144
FUE 67,5,0.44632
FUE 68,5,0.37773
FUE 69,5,0.38782
FUE 70,5,0.48705
FUE 71,5,0.25367
FUE 72,5,0.24894
FUE 73,5,0.31656
FUE 74,5,0.86102
FUE 75,5,0.71237
FUE 76,6,0.05227
FUE 77,6,0.64828
FUE 78,6,0.79651
FUE 79,6,0.52647
FUE 80,6,0.09769
FUE 81,6,0.31322
FUE 82,6,0.26929
FUE 83,6,0.88447
FUE 84,6,0.51645
FUE 85,6,0.80815
FUE 86,6,0.17858
FUE 87,6,0.41905
FUE 88,6,0.42233
FUE 89,6,0.24961
FUE 90,6,0.43042
