,FBS,Bid
FUE 1,1,0.087484
FUE 2,1,0.1904
FUE 3,1,0.18888
FUE 4,1,0.12659
FUE 5,1,0.81199
FUE 6,1,0.19951
FUE 7,1,0.29737
FUE 8,1,0.41782
FUE 9,1,0.72894
FUE 10,1,0.87871
FUE 11,1,0.97294
FUE 12,1,0.59362
FUE 13,1,0.31199
FUE 14,2,0.32309
FUE 15,2,0.053051
FUE 16,2,0.083125
FUE 17,2,0.91927
FUE 18,2,0.15844
FUE 19,2,0.20812
FUE 20,2,0.50053
FUE 21,2,0.60388
FUE 22,2,0.62259
FUE 23,2,0.45309
FUE 24,2,0.0044825
FUE 25,2,0.39567
FUE 26,2,0.52652
FUE 27,3,0.99827
FUE 28,3,0.56191
FUE 29,3,0.94945
FUE 30,3,0.42005
FUE 31,3,0.55112
FUE 32,3,0.68653
FUE 33,3,0.77139
FUE 34,3,0.10997
FUE 35,3,0.86196
FUE 36,3,0.46424
FUE 37,3,0.66371
FUE 38,3,0.74878
FUE 39,3,0.20392
FUE 40,4,0.85498
FUE 41,4,0.25549
FUE 42,4,0.21483
FUE 43,4,0.94948
FUE 44,4,0.53453
FUE 45,4,0.86119
FUE 46,4,0.88395
FUE 47,4,0.031518
FUE 48,4,0.75306
FUE 49,4,0.1876
FUE 50,4,0.87205
FUE 51,4,0.9174
FUE 52,4,0.92136
FUE 53,5,0.46961
FUE 54,5,0.38374
FUE 55,5,0.84539
FUE 56,5,0.11171
FUE 57,5,0.47714
FUE 58,5,0.15327
FUE 59,5,0.3448
FUE 60,5,0.60774
FUE 61,5,0.17077
FUE 62,5,0.80903
FUE 63,5,0.10588
FUE 64,5,0.34707
FUE 65,5,0.6935
FUE 66,6,0.43585
FUE 67,6,0.15937
FUE 68,6,0.38371
FUE 69,6,0.55641
FUE 70,6,0.82004
FUE 71,6,0.25648
FUE 72,6,0.50222
FUE 73,6,0.9345
FUE 74,6,0.47531
FUE 75,6,0.95878
FUE 76,6,0.67661
FUE 77,6,0.47803
FUE 78,6,0.13506
