,FBS,Bid
FUE 1,1,0.94029
FUE 2,1,0.852
FUE 3,1,0.56936
FUE 4,1,0.035236
FUE 5,1,0.51792
FUE 6,1,0.98091
FUE 7,1,0.67386
FUE 8,1,0.85055
FUE 9,1,0.16645
FUE 10,2,0.37849
FUE 11,2,0.079142
FUE 12,2,0.935
FUE 13,2,0.97669
FUE 14,2,0.73678
FUE 15,2,0.54809
FUE 16,2,0.77159
FUE 17,2,0.71797
FUE 18,2,0.30313
FUE 19,3,0.27498
FUE 20,3,0.17613
FUE 21,3,0.67164
FUE 22,3,0.16169
FUE 23,3,0.28745
FUE 24,3,0.44219
FUE 25,3,0.59279
FUE 26,3,0.10024
FUE 27,3,0.73953
FUE 28,4,0.12958
FUE 29,4,0.77969
FUE 30,4,0.83091
FUE 31,4,0.97464
FUE 32,4,0.27362
FUE 33,4,0.99402
FUE 34,4,0.97396
FUE 35,4,0.73398
FUE 36,4,0.67222
FUE 37,5,0.74901
FUE 38,5,0.64623
FUE 39,5,0.95468
FUE 40,5,0.15235
FUE 41,5,0.15781
FUE 42,5,0.89603
FUE 43,5,0.22498
FUE 44,5,0.85845
FUE 45,5,0.87365
FUE 46,6,0.035258
FUE 47,6,0.37158
FUE 48,6,0.037109
FUE 49,6,0.2362
FUE 50,6,0.43303
FUE 51,6,0.98738
FUE 52,6,0.17731
FUE 53,6,0.76004
FUE 54,6,0.53463
