,FBS,Bid
FUE 1,1,0.95183
FUE 2,1,0.79382
FUE 3,1,0.01629
FUE 4,1,0.76788
FUE 5,1,0.86426
FUE 6,1,0.74656
FUE 7,1,0.83705
FUE 8,1,0.39217
FUE 9,1,0.47538
FUE 10,1,0.55457
FUE 11,1,0.89754
FUE 12,1,0.094518
FUE 13,1,0.32757
FUE 14,1,0.52488
FUE 15,2,0.9422
FUE 16,2,0.084665
FUE 17,2,0.99352
FUE 18,2,0.62106
FUE 19,2,0.47321
FUE 20,2,0.37311
FUE 21,2,0.83446
FUE 22,2,0.57316
FUE 23,2,0.048673
FUE 24,2,0.60945
FUE 25,2,0.13633
FUE 26,2,0.40986
FUE 27,2,0.36506
FUE 28,2,0.46497
FUE 29,3,0.40175
FUE 30,3,0.14875
FUE 31,3,0.23963
FUE 32,3,0.45879
FUE 33,3,0.21617
FUE 34,3,0.72654
FUE 35,3,0.80177
FUE 36,3,0.60495
FUE 37,3,0.86944
FUE 38,3,0.12963
FUE 39,3,0.10537
FUE 40,3,0.18573
FUE 41,3,0.23047
FUE 42,3,0.43922
FUE 43,4,0.97547
FUE 44,4,0.49336
FUE 45,4,0.77459
FUE 46,4,0.91189
FUE 47,4,0.87648
FUE 48,4,0.015688
FUE 49,4,0.4976
FUE 50,4,0.19866
FUE 51,4,0.72854
FUE 52,4,0.61852
FUE 53,4,0.35932
FUE 54,4,0.50277
FUE 55,4,0.66526
FUE 56,4,0.23653
FUE 57,5,0.37701
FUE 58,5,0.39238
FUE 59,5,0.017876
FUE 60,5,0.32316
FUE 61,5,0.017844
FUE 62,5,0.4291
FUE 63,5,0.10655
FUE 64,5,0.40309
FUE 65,5,0.10709
FUE 66,5,0.89151
FUE 67,5,0.35736
FUE 68,5,0.04676
FUE 69,5,0.11323
FUE 70,5,0.53527
FUE 71,6,0.057023
FUE 72,6,0.066967
FUE 73,6,0.81309
FUE 74,6,0.83215
FUE 75,6,0.57175
FUE 76,6,0.7131
FUE 77,6,0.82155
FUE 78,6,0.95189
FUE 79,6,0.53925
FUE 80,6,0.50772
FUE 81,6,0.27507
FUE 82,6,0.98942
FUE 83,6,0.618
FUE 84,6,0.48795
