,FBS,Bid
FUE 1,1,0.28137
FUE 2,1,0.97022
FUE 3,1,0.090986
FUE 4,1,0.56905
FUE 5,1,0.85351
FUE 6,1,0.52694
FUE 7,1,0.017461
FUE 8,1,0.16757
FUE 9,1,0.56512
FUE 10,1,0.354
FUE 11,1,0.95262
FUE 12,1,0.15209
FUE 13,1,0.096799
FUE 14,1,0.0061211
FUE 15,1,0.64436
FUE 16,2,0.98628
FUE 17,2,0.18907
FUE 18,2,0.29677
FUE 19,2,0.39564
FUE 20,2,0.40291
FUE 21,2,0.065847
FUE 22,2,0.73446
FUE 23,2,0.38727
FUE 24,2,0.14689
FUE 25,2,0.59893
FUE 26,2,0.51314
FUE 27,2,0.39506
FUE 28,2,0.31186
FUE 29,2,0.37179
FUE 30,2,0.34756
FUE 31,3,0.11284
FUE 32,3,0.45259
FUE 33,3,0.93019
FUE 34,3,0.18651
FUE 35,3,0.1564
FUE 36,3,0.52133
FUE 37,3,0.028128
FUE 38,3,0.56818
FUE 39,3,0.60398
FUE 40,3,0.90837
FUE 41,3,0.99951
FUE 42,3,0.44852
FUE 43,3,0.43472
FUE 44,3,0.24998
FUE 45,3,0.91909
FUE 46,4,0.95983
FUE 47,4,0.15345
FUE 48,4,0.29698
FUE 49,4,0.066499
FUE 50,4,0.11797
FUE 51,4,0.78289
FUE 52,4,0.32806
FUE 53,4,0.58783
FUE 54,4,0.89579
FUE 55,4,0.77878
FUE 56,4,0.61325
FUE 57,4,0.43931
FUE 58,4,0.022862
FUE 59,4,0.129
FUE 60,4,0.20971
FUE 61,5,0.25929
FUE 62,5,0.57319
FUE 63,5,0.10776
FUE 64,5,0.92765
FUE 65,5,0.081282
FUE 66,5,0.41278
FUE 67,5,0.31841
FUE 68,5,0.27654
FUE 69,5,0.17567
FUE 70,5,0.30367
FUE 71,5,0.81121
FUE 72,5,0.43796
FUE 73,5,0.42668
FUE 74,5,0.23356
FUE 75,5,0.47686
FUE 76,6,0.20306
FUE 77,6,0.033163
FUE 78,6,0.22565
FUE 79,6,0.60453
FUE 80,6,0.94954
FUE 81,6,0.94202
FUE 82,6,0.16057
FUE 83,6,0.5935
FUE 84,6,0.53183
FUE 85,6,0.34505
FUE 86,6,0.88101
FUE 87,6,0.22996
FUE 88,6,0.90678
FUE 89,6,0.86234
FUE 90,6,0.25233
