,FBS,Bid
FUE 1,1,0.79028
FUE 2,1,0.17479
FUE 3,1,0.019293
FUE 4,1,0.27152
FUE 5,1,0.1536
FUE 6,1,0.48881
FUE 7,1,0.87476
FUE 8,1,0.19731
FUE 9,1,0.48616
FUE 10,1,0.29524
FUE 11,1,0.74836
FUE 12,1,0.99377
FUE 13,1,0.38673
FUE 14,1,0.38531
FUE 15,2,0.028864
FUE 16,2,0.049397
FUE 17,2,0.24032
FUE 18,2,0.19859
FUE 19,2,0.36164
FUE 20,2,0.16189
FUE 21,2,0.67724
FUE 22,2,0.92159
FUE 23,2,0.73384
FUE 24,2,0.82433
FUE 25,2,0.76291
FUE 26,2,0.2986
FUE 27,2,0.013919
FUE 28,2,0.36972
FUE 29,3,0.8152
FUE 30,3,0.97271
FUE 31,3,0.4332
FUE 32,3,0.32792
FUE 33,3,0.51305
FUE 34,3,0.67538
FUE 35,3,0.54297
FUE 36,3,0.66074
FUE 37,3,0.79269
FUE 38,3,0.66381
FUE 39,3,0.91639
FUE 40,3,0.65102
FUE 41,3,0.5707
FUE 42,3,0.35449
FUE 43,4,0.68903
FUE 44,4,0.34879
FUE 45,4,0.80174
FUE 46,4,0.61235
FUE 47,4,0.59402
FUE 48,4,0.45246
FUE 49,4,0.45991
FUE 50,4,0.56965
FUE 51,4,0.56871
FUE 52,4,0.35019
FUE 53,4,0.40759
FUE 54,4,0.7235
FUE 55,4,0.0057262
FUE 56,4,0.35271
FUE 57,5,0.531
FUE 58,5,0.0095074
FUE 59,5,0.34469
FUE 60,5,0.77976
FUE 61,5,0.71694
FUE 62,5,0.42382
FUE 63,5,0.49903
FUE 64,5,0.18986
FUE 65,5,0.87013
FUE 66,5,0.057681
FUE 67,5,0.29055
FUE 68,5,0.24107
FUE 69,5,0.99471
FUE 70,5,0.85488
FUE 71,6,0.79035
FUE 72,6,0.91573
FUE 73,6,0.64953
FUE 74,6,0.856
FUE 75,6,0.5646
FUE 76,6,0.56281
FUE 77,6,0.055797
FUE 78,6,0.075737
FUE 79,6,0.39633
FUE 80,6,0.89494
FUE 81,6,0.48706
FUE 82,6,0.11958
FUE 83,6,0.98942
FUE 84,6,0.73147
