,FBS,Bid
FUE 1,1,0.17331
FUE 2,1,0.84597
FUE 3,1,0.31342
FUE 4,1,0.19678
FUE 5,1,0.20324
FUE 6,1,0.87306
FUE 7,1,0.5627
FUE 8,1,0.49829
FUE 9,1,0.7694
FUE 10,1,0.94859
FUE 11,1,0.90972
FUE 12,1,0.56818
FUE 13,2,0.96305
FUE 14,2,0.7119
FUE 15,2,0.26133
FUE 16,2,0.82312
FUE 17,2,0.43691
FUE 18,2,0.33565
FUE 19,2,0.58731
FUE 20,2,0.37181
FUE 21,2,0.5203
FUE 22,2,0.24006
FUE 23,2,0.74992
FUE 24,2,0.90651
FUE 25,3,0.33044
FUE 26,3,0.80955
FUE 27,3,0.070061
FUE 28,3,0.6404
FUE 29,3,0.33779
FUE 30,3,0.80337
FUE 31,3,0.60621
FUE 32,3,0.095376
FUE 33,3,0.82187
FUE 34,3,0.79164
FUE 35,3,0.49701
FUE 36,3,0.022217
FUE 37,4,0.71287
FUE 38,4,0.94033
FUE 39,4,0.45243
FUE 40,4,0.28416
FUE 41,4,0.2366
FUE 42,4,0.76193
FUE 43,4,0.031853
FUE 44,4,0.70303
FUE 45,4,0.45361
FUE 46,4,0.39264
FUE 47,4,0.6213
FUE 48,4,0.63441
FUE 49,5,0.33338
FUE 50,5,0.070909
FUE 51,5,0.39021
FUE 52,5,0.0080998
FUE 53,5,0.53674
FUE 54,5,0.73043
FUE 55,5,0.66048
FUE 56,5,0.074443
FUE 57,5,0.13471
FUE 58,5,0.47837
FUE 59,5,0.52937
FUE 60,5,0.4388
FUE 61,6,0.29932
FUE 62,6,0.77027
FUE 63,6,0.41633
FUE 64,6,0.50762
FUE 65,6,0.62416
FUE 66,6,0.64091
FUE 67,6,0.76136
FUE 68,6,0.69604
FUE 69,6,0.70789
FUE 70,6,0.68876
FUE 71,6,0.28487
FUE 72,6,0.44478
