,FBS,Bid
FUE 1,1,0.78849
FUE 2,1,0.40071
FUE 3,1,0.78228
FUE 4,1,0.88911
FUE 5,1,0.32791
FUE 6,1,0.0096413
FUE 7,1,0.15001
FUE 8,1,0.71971
FUE 9,1,0.48514
FUE 10,1,0.53385
FUE 11,2,0.87301
FUE 12,2,0.07901
FUE 13,2,0.0070071
FUE 14,2,0.63903
FUE 15,2,0.84169
FUE 16,2,0.66983
FUE 17,2,0.20275
FUE 18,2,0.66369
FUE 19,2,0.27714
FUE 20,2,0.20444
FUE 21,3,0.52132
FUE 22,3,0.12808
FUE 23,3,0.43102
FUE 24,3,0.77234
FUE 25,3,0.44492
FUE 26,3,0.45656
FUE 27,3,0.55576
FUE 28,3,0.86779
FUE 29,3,0.57946
FUE 30,3,0.38815
FUE 31,4,0.66483
FUE 32,4,0.17089
FUE 33,4,0.07124
FUE 34,4,0.65103
FUE 35,4,0.41859
FUE 36,4,0.4142
FUE 37,4,0.72653
FUE 38,4,0.38489
FUE 39,4,0.32735
FUE 40,4,0.57397
FUE 41,5,0.49692
FUE 42,5,0.15154
FUE 43,5,0.26666
FUE 44,5,0.23288
FUE 45,5,0.48623
FUE 46,5,0.61758
FUE 47,5,0.43365
FUE 48,5,0.85313
FUE 49,5,0.14835
FUE 50,5,0.93653
FUE 51,6,0.33655
FUE 52,6,0.5177
FUE 53,6,0.96915
FUE 54,6,0.33026
FUE 55,6,0.99839
FUE 56,6,0.023896
FUE 57,6,0.83785
FUE 58,6,0.88453
FUE 59,6,0.47868
FUE 60,6,0.75912
