,FBS,Bid
FUE 1,1,0.031724
FUE 2,1,0.075401
FUE 3,1,0.89142
FUE 4,1,0.50383
FUE 5,1,0.62928
FUE 6,1,0.67558
FUE 7,1,0.17122
FUE 8,1,0.95237
FUE 9,1,0.99621
FUE 10,1,0.018447
FUE 11,1,0.12567
FUE 12,1,0.47828
FUE 13,1,0.51337
FUE 14,1,0.4921
FUE 15,2,0.39245
FUE 16,2,0.087632
FUE 17,2,0.98612
FUE 18,2,0.91901
FUE 19,2,0.68489
FUE 20,2,0.36857
FUE 21,2,0.035201
FUE 22,2,0.62446
FUE 23,2,0.61166
FUE 24,2,0.35757
FUE 25,2,0.48236
FUE 26,2,0.58491
FUE 27,2,0.64693
FUE 28,2,0.79234
FUE 29,3,0.46052
FUE 30,3,0.55343
FUE 31,3,0.051045
FUE 32,3,0.0021489
FUE 33,3,0.12834
FUE 34,3,0.99154
FUE 35,3,0.032522
FUE 36,3,0.67877
FUE 37,3,0.071388
FUE 38,3,0.025123
FUE 39,3,0.96828
FUE 40,3,0.79065
FUE 41,3,0.0558
FUE 42,3,0.39209
FUE 43,4,0.61446
FUE 44,4,0.59612
FUE 45,4,0.34083
FUE 46,4,0.96984
FUE 47,4,0.36787
FUE 48,4,0.60524
FUE 49,4,0.028822
FUE 50,4,0.53487
FUE 51,4,0.83136
FUE 52,4,0.041117
FUE 53,4,0.41168
FUE 54,4,0.18848
FUE 55,4,0.5127
FUE 56,4,0.73577
FUE 57,5,0.56003
FUE 58,5,0.033599
FUE 59,5,0.877
FUE 60,5,0.61827
FUE 61,5,0.64967
FUE 62,5,0.79561
FUE 63,5,0.54118
FUE 64,5,0.75334
FUE 65,5,0.72
FUE 66,5,0.93398
FUE 67,5,0.11044
FUE 68,5,0.49622
FUE 69,5,0.49292
FUE 70,5,0.88361
FUE 71,6,0.77925
FUE 72,6,0.83696
FUE 73,6,0.54785
FUE 74,6,0.91318
FUE 75,6,0.4264
FUE 76,6,0.31677
FUE 77,6,0.17271
FUE 78,6,0.90826
FUE 79,6,0.63369
FUE 80,6,0.36094
FUE 81,6,0.18698
FUE 82,6,0.10302
FUE 83,6,0.4336
FUE 84,6,0.38671
