,FBS,Bid
FUE 1,1,0.43091
FUE 2,1,0.58578
FUE 3,1,0.42772
FUE 4,1,0.91136
FUE 5,1,0.99168
FUE 6,1,0.15952
FUE 7,1,0.92372
FUE 8,1,0.65808
FUE 9,1,0.17241
FUE 10,1,0.90733
FUE 11,1,0.75841
FUE 12,1,0.058042
FUE 13,1,0.94249
FUE 14,2,0.44483
FUE 15,2,0.93604
FUE 16,2,0.70801
FUE 17,2,0.047258
FUE 18,2,0.82398
FUE 19,2,0.17214
FUE 20,2,0.75621
FUE 21,2,0.42246
FUE 22,2,0.45505
FUE 23,2,0.53422
FUE 24,2,0.72326
FUE 25,2,0.69886
FUE 26,2,0.86147
FUE 27,3,0.43556
FUE 28,3,0.65721
FUE 29,3,0.07984
FUE 30,3,0.89745
FUE 31,3,0.71566
FUE 32,3,0.89609
FUE 33,3,0.53421
FUE 34,3,0.86665
FUE 35,3,0.076953
FUE 36,3,0.093941
FUE 37,3,0.074579
FUE 38,3,0.7127
FUE 39,3,0.88208
FUE 40,4,0.068689
FUE 41,4,0.93434
FUE 42,4,0.56507
FUE 43,4,0.85011
FUE 44,4,0.92366
FUE 45,4,0.13919
FUE 46,4,0.55278
FUE 47,4,0.28891
FUE 48,4,0.77951
FUE 49,4,0.14771
FUE 50,4,0.37204
FUE 51,4,0.0905
FUE 52,4,0.24698
FUE 53,5,0.58371
FUE 54,5,0.29804
FUE 55,5,0.55402
FUE 56,5,0.68935
FUE 57,5,0.35477
FUE 58,5,0.46433
FUE 59,5,0.35399
FUE 60,5,0.18833
FUE 61,5,0.22109
FUE 62,5,0.81134
FUE 63,5,0.95197
FUE 64,5,0.86716
FUE 65,5,0.58548
FUE 66,6,0.91204
FUE 67,6,0.010537
FUE 68,6,0.27195
FUE 69,6,0.32366
FUE 70,6,0.46445
FUE 71,6,0.74623
FUE 72,6,0.96062
FUE 73,6,0.21365
FUE 74,6,0.19909
FUE 75,6,0.34295
FUE 76,6,0.44584
FUE 77,6,0.50467
FUE 78,6,0.43081
