,FBS,Bid
FUE 1,1,0.65631
FUE 2,1,0.35626
FUE 3,1,0.64991
FUE 4,1,0.95743
FUE 5,1,0.57197
FUE 6,1,0.17732
FUE 7,1,0.045347
FUE 8,1,0.95151
FUE 9,1,0.24785
FUE 10,1,0.36775
FUE 11,1,0.053009
FUE 12,1,0.54629
FUE 13,1,0.89262
FUE 14,1,0.092622
FUE 15,2,0.53153
FUE 16,2,0.91121
FUE 17,2,0.2072
FUE 18,2,0.40258
FUE 19,2,0.24211
FUE 20,2,0.41337
FUE 21,2,0.12031
FUE 22,2,0.016284
FUE 23,2,0.44461
FUE 24,2,0.55199
FUE 25,2,0.59364
FUE 26,2,0.65326
FUE 27,2,0.037225
FUE 28,2,0.79095
FUE 29,3,0.82475
FUE 30,3,0.5174
FUE 31,3,0.51536
FUE 32,3,0.025873
FUE 33,3,0.54716
FUE 34,3,0.13356
FUE 35,3,0.70157
FUE 36,3,0.26077
FUE 37,3,0.96934
FUE 38,3,0.097044
FUE 39,3,0.74568
FUE 40,3,0.25824
FUE 41,3,0.85854
FUE 42,3,0.53658
FUE 43,4,0.13004
FUE 44,4,0.50103
FUE 45,4,0.32351
FUE 46,4,0.1826
FUE 47,4,0.68539
FUE 48,4,0.26166
FUE 49,4,0.66844
FUE 50,4,0.24895
FUE 51,4,0.25922
FUE 52,4,0.99684
FUE 53,4,0.20876
FUE 54,4,0.9407
FUE 55,4,0.43456
FUE 56,4,0.72626
FUE 57,5,0.27733
FUE 58,5,0.038974
FUE 59,5,0.94251
FUE 60,5,0.71259
FUE 61,5,0.7643
FUE 62,5,0.89475
FUE 63,5,0.39849
FUE 64,5,0.53816
FUE 65,5,0.4689
FUE 66,5,0.2569
FUE 67,5,0.86199
FUE 68,5,0.38991
FUE 69,5,0.26018
FUE 70,5,0.39677
FUE 71,6,0.64273
FUE 72,6,0.8678
FUE 73,6,0.19401
FUE 74,6,0.27612
FUE 75,6,0.98227
FUE 76,6,0.37694
FUE 77,6,0.98652
FUE 78,6,0.84067
FUE 79,6,0.67538
FUE 80,6,0.22092
FUE 81,6,0.97111
FUE 82,6,0.62133
FUE 83,6,0.083817
FUE 84,6,0.63432
