,FBS,Bid
FUE 1,1,0.60187
FUE 2,1,0.097972
FUE 3,1,0.070752
FUE 4,1,0.032038
FUE 5,1,0.57027
FUE 6,1,0.17731
FUE 7,1,0.097691
FUE 8,1,0.21518
FUE 9,1,0.022401
FUE 10,1,0.82259
FUE 11,1,0.32978
FUE 12,1,0.70737
FUE 13,1,0.71604
FUE 14,1,0.38936
FUE 15,1,0.99714
FUE 16,2,0.77837
FUE 17,2,0.46035
FUE 18,2,0.92613
FUE 19,2,0.49344
FUE 20,2,0.56186
FUE 21,2,0.76151
FUE 22,2,0.85274
FUE 23,2,0.30796
FUE 24,2,0.18136
FUE 25,2,0.75525
FUE 26,2,0.44729
FUE 27,2,0.57025
FUE 28,2,0.35818
FUE 29,2,0.86746
FUE 30,2,0.74381
FUE 31,3,0.41233
FUE 32,3,0.31988
FUE 33,3,0.94578
FUE 34,3,0.971
FUE 35,3,0.91026
FUE 36,3,0.53118
FUE 37,3,0.97559
FUE 38,3,0.51355
FUE 39,3,0.68374
FUE 40,3,0.038738
FUE 41,3,0.68743
FUE 42,3,0.91006
FUE 43,3,0.024517
FUE 44,3,0.93406
FUE 45,3,0.79495
FUE 46,4,0.38703
FUE 47,4,0.11934
FUE 48,4,0.13168
FUE 49,4,0.70252
FUE 50,4,0.47557
FUE 51,4,0.38278
FUE 52,4,0.78758
FUE 53,4,0.0059844
FUE 54,4,0.26017
FUE 55,4,0.086871
FUE 56,4,0.87744
FUE 57,4,0.6392
FUE 58,4,0.83062
FUE 59,4,0.3163
FUE 60,4,0.82204
FUE 61,5,0.44774
FUE 62,5,0.047048
FUE 63,5,0.38091
FUE 64,5,0.52709
FUE 65,5,0.82238
FUE 66,5,0.82069
FUE 67,5,0.064349
FUE 68,5,0.64766
FUE 69,5,0.44182
FUE 70,5,0.57287
FUE 71,5,0.024362
FUE 72,5,0.5236
FUE 73,5,0.7563
FUE 74,5,0.84763
FUE 75,5,0.97154
FUE 76,6,0.45222
FUE 77,6,0.15328
FUE 78,6,0.7572
FUE 79,6,0.12279
FUE 80,6,0.64806
FUE 81,6,0.21467
FUE 82,6,0.27748
FUE 83,6,0.61604
FUE 84,6,0.96277
FUE 85,6,0.56485
FUE 86,6,0.63655
FUE 87,6,0.026407
FUE 88,6,0.6718
FUE 89,6,0.024213
FUE 90,6,0.70184
