"","FBS","Bid"
"FUE 1","1","0.16716840991466"
"FUE 2","1","0.10621634492866"
"FUE 3","1","0.37240974005554"
"FUE 4","1","0.19811840254297"
"FUE 5","1","0.48968763801602"
"FUE 6","1","0.33949341339076"
"FUE 7","1","0.95163046477773"
"FUE 8","2","0.92033203983656"
"FUE 9","2","0.052676997680793"
"FUE 10","2","0.737858095517"
"FUE 11","2","0.26911942639856"
"FUE 12","2","0.42283561500881"
"FUE 13","2","0.54787090121484"
"FUE 14","2","0.94273698427693"
"FUE 15","3","0.41774410431666"
"FUE 16","3","0.98305246646986"
"FUE 17","3","0.30145494871207"
"FUE 18","3","0.70109875590093"
"FUE 19","3","0.66633885158443"
"FUE 20","3","0.53912646504286"
"FUE 21","3","0.69810552018031"
"FUE 22","4","0.66652791340259"
"FUE 23","4","0.17813245440034"
"FUE 24","4","0.12801439972017"
"FUE 25","4","0.99908039476136"
"FUE 26","4","0.17112106635643"
"FUE 27","4","0.032600820530528"
"FUE 28","4","0.56119979270966"
"FUE 29","5","0.88186650045181"
"FUE 30","5","0.66917530453439"
"FUE 31","5","0.19043326717995"
"FUE 32","5","0.36891654606389"
"FUE 33","5","0.46072593726041"
"FUE 34","5","0.98163795097075"
"FUE 35","5","0.15640495222656"
"FUE 36","6","0.85552280584591"
"FUE 37","6","0.64476453687009"
"FUE 38","6","0.37627221027883"
"FUE 39","6","0.1909236952363"
"FUE 40","6","0.42825299297939"
"FUE 41","6","0.48202206103186"
"FUE 42","6","0.12061161329716"
