,FBS,Bid
FUE 1,1,0.8491
FUE 2,1,0.099564
FUE 3,1,0.76532
FUE 4,1,0.35593
FUE 5,1,0.43681
FUE 6,1,0.6366
FUE 7,1,0.90714
FUE 8,1,0.85877
FUE 9,1,0.071361
FUE 10,1,0.44561
FUE 11,1,0.94981
FUE 12,1,0.66611
FUE 13,2,0.4633
FUE 14,2,0.33603
FUE 15,2,0.45569
FUE 16,2,0.97868
FUE 17,2,0.43808
FUE 18,2,0.45579
FUE 19,2,0.035861
FUE 20,2,0.14937
FUE 21,2,0.83497
FUE 22,2,0.59099
FUE 23,2,0.60836
FUE 24,2,0.16686
FUE 25,3,0.1287
FUE 26,3,0.35272
FUE 27,3,0.055592
FUE 28,3,0.34006
FUE 29,3,0.56049
FUE 30,3,0.24314
FUE 31,3,0.42902
FUE 32,3,0.98169
FUE 33,3,0.64171
FUE 34,3,0.56803
FUE 35,3,0.81086
FUE 36,3,0.56943
FUE 37,4,0.10156
FUE 38,4,0.19985
FUE 39,4,0.71716
FUE 40,4,0.30412
FUE 41,4,0.49461
FUE 42,4,0.57254
FUE 43,4,0.60871
FUE 44,4,0.67836
FUE 45,4,0.079546
FUE 46,4,0.95967
FUE 47,4,0.75233
FUE 48,4,0.13285
FUE 49,5,0.70512
FUE 50,5,0.43725
FUE 51,5,0.12017
FUE 52,5,0.38127
FUE 53,5,0.69324
FUE 54,5,0.5401
FUE 55,5,0.88296
FUE 56,5,0.8461
FUE 57,5,0.15551
FUE 58,5,0.24625
FUE 59,5,0.15815
FUE 60,5,0.26521
FUE 61,6,0.066588
FUE 62,6,0.51424
FUE 63,6,0.057283
FUE 64,6,0.94976
FUE 65,6,0.27906
FUE 66,6,0.7128
FUE 67,6,0.38031
FUE 68,6,0.30092
FUE 69,6,0.47235
FUE 70,6,0.12569
FUE 71,6,0.30587
FUE 72,6,0.75836
