,FBS,Bid
FUE 1,1,0.9917
FUE 2,1,0.67807
FUE 3,1,0.42848
FUE 4,1,0.6548
FUE 5,1,0.58875
FUE 6,1,0.74505
FUE 7,1,0.64087
FUE 8,1,0.50368
FUE 9,2,0.93804
FUE 10,2,0.60534
FUE 11,2,0.63892
FUE 12,2,0.70266
FUE 13,2,0.86095
FUE 14,2,0.37966
FUE 15,2,0.71212
FUE 16,2,0.52352
FUE 17,3,0.36349
FUE 18,3,0.43468
FUE 19,3,0.6876
FUE 20,3,0.22685
FUE 21,3,0.979
FUE 22,3,0.97567
FUE 23,3,0.28951
FUE 24,3,0.33843
FUE 25,4,0.99644
FUE 26,4,0.78897
FUE 27,4,0.79492
FUE 28,4,0.63237
FUE 29,4,0.81145
FUE 30,4,0.44809
FUE 31,4,0.83061
FUE 32,4,0.12666
FUE 33,5,0.51327
FUE 34,5,0.71593
FUE 35,5,0.24815
FUE 36,5,0.5319
FUE 37,5,0.38221
FUE 38,5,0.80176
FUE 39,5,0.67086
FUE 40,5,0.98286
FUE 41,6,0.93682
FUE 42,6,0.57627
FUE 43,6,0.080186
FUE 44,6,0.41382
FUE 45,6,0.18085
FUE 46,6,0.99563
FUE 47,6,0.52039
FUE 48,6,0.88528
