,FBS,Bid
FUE 1,1,0.17286
FUE 2,1,0.0055198
FUE 3,1,0.21699
FUE 4,1,0.53489
FUE 5,1,0.34247
FUE 6,1,0.16574
FUE 7,1,0.61183
FUE 8,1,0.28487
FUE 9,2,0.30232
FUE 10,2,0.50072
FUE 11,2,0.52869
FUE 12,2,0.014161
FUE 13,2,0.11809
FUE 14,2,0.13915
FUE 15,2,0.76209
FUE 16,2,0.20697
FUE 17,3,0.50351
FUE 18,3,0.23375
FUE 19,3,0.66213
FUE 20,3,0.64181
FUE 21,3,0.84967
FUE 22,3,0.8739
FUE 23,3,0.94683
FUE 24,3,0.80856
FUE 25,4,0.076708
FUE 26,4,0.30001
FUE 27,4,0.10523
FUE 28,4,0.70291
FUE 29,4,0.4527
FUE 30,4,0.34961
FUE 31,4,0.80535
FUE 32,4,0.057274
FUE 33,5,0.18828
FUE 34,5,0.27955
FUE 35,5,0.75305
FUE 36,5,0.40669
FUE 37,5,0.31839
FUE 38,5,0.43858
FUE 39,5,0.35036
FUE 40,5,0.4608
FUE 41,6,0.4122
FUE 42,6,0.94712
FUE 43,6,0.94789
FUE 44,6,0.46044
FUE 45,6,0.37018
FUE 46,6,0.33673
FUE 47,6,0.48844
FUE 48,6,0.85153
