,FBS,Bid
FUE 1,1,0.51809
FUE 2,1,0.029397
FUE 3,1,0.8587
FUE 4,1,0.032648
FUE 5,1,0.057857
FUE 6,1,0.7792
FUE 7,1,0.1798
FUE 8,1,0.55979
FUE 9,1,0.72814
FUE 10,1,0.75855
FUE 11,1,0.91502
FUE 12,1,0.12383
FUE 13,2,0.60926
FUE 14,2,0.56697
FUE 15,2,0.11472
FUE 16,2,0.76288
FUE 17,2,0.91984
FUE 18,2,0.98477
FUE 19,2,0.79485
FUE 20,2,0.51659
FUE 21,2,0.80576
FUE 22,2,0.52353
FUE 23,2,0.84956
FUE 24,2,0.29012
FUE 25,3,0.27892
FUE 26,3,0.9182
FUE 27,3,0.046376
FUE 28,3,0.93876
FUE 29,3,0.7084
FUE 30,3,0.83465
FUE 31,3,0.94299
FUE 32,3,0.49435
FUE 33,3,0.41366
FUE 34,3,0.7461
FUE 35,3,0.6962
FUE 36,3,0.087163
FUE 37,4,0.98739
FUE 38,4,0.94036
FUE 39,4,0.54062
FUE 40,4,0.16548
FUE 41,4,0.2657
FUE 42,4,0.0080476
FUE 43,4,0.36071
FUE 44,4,0.15264
FUE 45,4,0.49935
FUE 46,4,0.51588
FUE 47,4,0.95186
FUE 48,4,0.04787
FUE 49,5,0.45325
FUE 50,5,0.044756
FUE 51,5,0.044095
FUE 52,5,0.13409
FUE 53,5,0.092662
FUE 54,5,0.79106
FUE 55,5,0.20113
FUE 56,5,0.22307
FUE 57,5,0.89621
FUE 58,5,0.23216
FUE 59,5,0.79015
FUE 60,5,0.12286
FUE 61,6,0.87241
FUE 62,6,0.36231
FUE 63,6,0.61953
FUE 64,6,0.71953
FUE 65,6,0.25758
FUE 66,6,0.60679
FUE 67,6,0.34988
FUE 68,6,0.22935
FUE 69,6,0.94691
FUE 70,6,0.05701
FUE 71,6,0.16896
FUE 72,6,0.94632
