,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,0.34002,0.53857,0.39734,0.88703,0.60167,0.82181,0.67612,0.57008,0.33774,0.8679,0.66054,0.37353,0.52748,0.80502,0.60199,0.6086,0.5525,0.39567,0.43054,0.45663,0.56866,0.62106,0.53184,0.81253,0.41357,0.67198,0.4562,0.42956,0.41596,0.75171,0.60329,0.63431,0.41948,0.32355,0.66737,0.86671
FUE 2,0.44811,0.6466,0.50533,0.99504,0.70967,0.92985,0.78406,0.67811,0.44552,0.97583,0.76851,0.4813,0.63545,0.91272,0.70974,0.71642,0.66043,0.50356,0.53832,0.56452,0.6762,0.72894,0.63966,0.92016,0.52108,0.77979,0.56402,0.53727,0.52347,0.85934,0.71105,0.74208,0.52726,0.43113,0.77515,0.97446
FUE 3,0.2695,0.4679,0.32656,0.81631,0.53093,0.75117,0.60522,0.49942,0.26648,0.797,0.58973,0.30224,0.45667,0.73358,0.53065,0.53743,0.48159,0.32466,0.3593,0.38563,0.49686,0.55003,0.46068,0.74093,0.3417,0.60079,0.38505,0.35814,0.34407,0.6801,0.532,0.56304,0.34823,0.25184,0.59611,0.79538
FUE 4,0.24069,0.43921,0.29797,0.78766,0.5023,0.72246,0.57672,0.47073,0.23827,0.7685,0.56116,0.27406,0.4281,0.70552,0.50251,0.50915,0.4531,0.29625,0.33107,0.35721,0.46909,0.52164,0.43239,0.713,0.31398,0.57252,0.35675,0.33006,0.31637,0.65217,0.50381,0.53484,0.32001,0.22399,0.56791,0.76723
FUE 5,0.26391,0.46203,0.32047,0.81034,0.52494,0.74536,0.59892,0.49356,0.25955,0.7907,0.5836,0.29527,0.45053,0.72634,0.52359,0.53064,0.47527,0.31815,0.3524,0.37914,0.48904,0.5435,0.45392,0.73344,0.33378,0.59398,0.3783,0.35095,0.33613,0.67258,0.52502,0.55608,0.34131,0.24418,0.58918,0.78832
FUE 6,0.35145,0.54991,0.40862,0.89834,0.61298,0.83317,0.68733,0.58143,0.34874,0.8791,0.6718,0.38451,0.53874,0.81591,0.61294,0.61965,0.5637,0.40681,0.44154,0.46778,0.57933,0.63219,0.54289,0.82332,0.42419,0.68301,0.46726,0.44046,0.42658,0.76249,0.61426,0.6453,0.43048,0.33427,0.67837,0.87766
FUE 7,0.26897,0.46736,0.32601,0.81576,0.53039,0.75063,0.60465,0.49888,0.26587,0.79643,0.58917,0.30163,0.45611,0.73295,0.53003,0.53683,0.48102,0.32407,0.35869,0.38504,0.49619,0.54945,0.46008,0.74028,0.34101,0.60018,0.38445,0.35752,0.34339,0.67944,0.53138,0.56242,0.34762,0.25118,0.5955,0.79476
FUE 8,0.25846,0.45726,0.31623,0.80581,0.52048,0.74044,0.59523,0.48876,0.25751,0.787,0.57948,0.29335,0.44642,0.72515,0.52191,0.52822,0.47162,0.31498,0.35027,0.37592,0.48954,0.54039,0.45141,0.73297,0.33458,0.59161,0.37576,0.34963,0.33702,0.67219,0.52311,0.5541,0.33923,0.24421,0.58714,0.78663
FUE 9,0.25898,0.45596,0.3161,0.80722,0.52199,0.73963,0.59085,0.48889,0.26313,0.77863,0.58036,0.30023,0.44518,0.71086,0.52957,0.50798,0.47112,0.31599,0.35481,0.37589,0.51682,0.53913,0.43709,0.74557,0.3531,0.57845,0.37089,0.32015,0.40274,0.60951,0.511,0.54443,0.33189,0.25895,0.58386,0.788
FUE 10,0.27799,0.47478,0.33491,0.82617,0.54093,0.75849,0.60942,0.50779,0.28187,0.79707,0.59921,0.319,0.46392,0.72903,0.54831,0.52616,0.48984,0.33471,0.37351,0.39457,0.5353,0.55775,0.45533,0.76414,0.3712,0.5967,0.38932,0.33824,0.42098,0.62755,0.52924,0.56271,0.35022,0.27739,0.60228,0.8065
