,FBS,Bid
FUE 1,1,0.39076
FUE 2,1,0.0090539
FUE 3,1,0.33941
FUE 4,1,0.66081
FUE 5,1,0.54366
FUE 6,1,0.96187
FUE 7,1,0.78565
FUE 8,1,0.74456
FUE 9,1,0.74636
FUE 10,1,0.26729
FUE 11,1,0.058357
FUE 12,1,0.51405
FUE 13,1,0.50016
FUE 14,1,0.6293
FUE 15,1,0.83076
FUE 16,2,0.20942
FUE 17,2,0.9848
FUE 18,2,0.1042
FUE 19,2,0.98391
FUE 20,2,0.2625
FUE 21,2,0.35292
FUE 22,2,0.68799
FUE 23,2,0.94552
FUE 24,2,0.05238
FUE 25,2,0.93008
FUE 26,2,0.77098
FUE 27,2,0.2257
FUE 28,2,0.95017
FUE 29,2,0.9318
FUE 30,2,0.86146
FUE 31,3,0.874
FUE 32,3,0.17137
FUE 33,3,0.10368
FUE 34,3,0.77099
FUE 35,3,0.10742
FUE 36,3,0.31062
FUE 37,3,0.67713
FUE 38,3,0.17148
FUE 39,3,0.37531
FUE 40,3,0.026526
FUE 41,3,0.091821
FUE 42,3,0.56075
FUE 43,3,0.62725
FUE 44,3,0.97959
FUE 45,3,0.91021
FUE 46,4,0.46739
FUE 47,4,0.11546
FUE 48,4,0.23645
FUE 49,4,0.59209
FUE 50,4,0.31904
FUE 51,4,0.51503
FUE 52,4,0.32607
FUE 53,4,0.32417
FUE 54,4,0.21039
FUE 55,4,0.78524
FUE 56,4,0.36905
FUE 57,4,0.28768
FUE 58,4,0.4681
FUE 59,4,0.90169
FUE 60,4,0.43755
FUE 61,5,0.54167
FUE 62,5,0.54412
FUE 63,5,0.29239
FUE 64,5,0.013069
FUE 65,5,0.018968
FUE 66,5,0.52156
FUE 67,5,0.65446
FUE 68,5,0.69268
FUE 69,5,0.013453
FUE 70,5,0.86367
FUE 71,5,0.75137
FUE 72,5,0.5331
FUE 73,5,0.10726
FUE 74,5,0.043677
FUE 75,5,0.4993
FUE 76,6,0.47527
FUE 77,6,0.62344
FUE 78,6,0.54625
FUE 79,6,0.87186
FUE 80,6,0.030875
FUE 81,6,0.9133
FUE 82,6,0.21466
FUE 83,6,0.85899
FUE 84,6,0.42978
FUE 85,6,0.47375
FUE 86,6,0.33027
FUE 87,6,0.1237
FUE 88,6,0.038943
FUE 89,6,0.40671
FUE 90,6,0.07133
