,FBS,Bid
FUE 1,1,0.12299
FUE 2,1,0.73072
FUE 3,1,0.8197
FUE 4,1,0.67725
FUE 5,1,0.25053
FUE 6,1,0.85964
FUE 7,1,0.30736
FUE 8,1,0.86007
FUE 9,1,0.99426
FUE 10,2,0.42193
FUE 11,2,0.97112
FUE 12,2,0.87872
FUE 13,2,0.42572
FUE 14,2,0.93083
FUE 15,2,0.057038
FUE 16,2,0.72081
FUE 17,2,0.37679
FUE 18,2,0.12908
FUE 19,3,0.29075
FUE 20,3,0.70496
FUE 21,3,0.35897
FUE 22,3,0.11699
FUE 23,3,0.12063
FUE 24,3,0.68143
FUE 25,3,0.10839
FUE 26,3,0.67648
FUE 27,3,0.44524
FUE 28,4,0.36038
FUE 29,4,0.15582
FUE 30,4,0.46449
FUE 31,4,0.33612
FUE 32,4,0.13634
FUE 33,4,0.5049
FUE 34,4,0.057304
FUE 35,4,0.82749
FUE 36,4,0.51901
FUE 37,5,0.19949
FUE 38,5,0.64508
FUE 39,5,0.014388
FUE 40,5,0.48208
FUE 41,5,0.34569
FUE 42,5,0.19001
FUE 43,5,0.53424
FUE 44,5,0.21316
FUE 45,5,0.023557
FUE 46,6,0.26129
FUE 47,6,0.85883
FUE 48,6,0.26483
FUE 49,6,0.70938
FUE 50,6,0.74225
FUE 51,6,0.31479
FUE 52,6,0.7294
FUE 53,6,0.44511
FUE 54,6,0.80388
