,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,61.3716,61.3465,61.3463,61.2855,61.2571,61.1826,61.2434,61.0465,60.9999,60.5348,59.9708,59.9862,60.8575,58.9436,60.2775,60.323,59.6853,53.0098,55.2639,59.7583,59.8525,55.6799,59.2589,48.2947,59.4612,57.9401,55.9618,58.7249,59.0438,57.7309,58.4623,54.5486,58.117,54.0605,42.1501,38.6025
FUE 2,65.653,65.6308,65.6305,65.5766,65.5514,65.4851,65.5391,65.3636,65.322,64.9035,64.3904,64.4045,65.1943,63.4415,64.6701,64.7116,64.1284,57.7344,59.9346,64.1955,64.282,60.3374,63.7346,53.0724,63.9218,62.4997,60.6096,63.2374,63.5349,62.3017,62.9915,59.2394,62.6667,58.7634,46.9485,43.4046
FUE 3,58.7896,58.7557,58.7553,58.6734,58.6354,58.5359,58.617,58.3554,58.294,57.6924,56.9859,57.0048,58.1078,55.7507,57.3671,57.4243,56.6364,49.2842,51.6567,56.7253,56.8404,52.1026,56.1237,44.457,56.3657,54.5931,52.4066,55.4948,55.8687,54.3566,55.1904,50.8966,54.7943,50.3822,38.2698,34.7146
FUE 4,55.6025,55.5836,55.5834,55.5375,55.5161,55.4597,55.5057,55.3559,55.3202,54.959,54.5099,54.5223,55.2105,53.663,54.7555,54.7917,54.278,48.2767,50.3969,54.3376,54.4141,50.7803,53.9267,43.696,54.0941,52.8044,51.0385,53.4784,53.7472,52.6219,53.2548,49.7313,52.9578,49.2731,37.6044,34.0663
FUE 5,71.3691,71.3433,71.343,71.2804,71.2512,71.1746,71.2371,71.0346,70.9868,70.5096,69.9326,69.9484,70.8405,68.8857,70.2461,70.2927,69.6411,62.8976,65.1643,69.7156,69.8118,65.5834,69.2066,58.1702,69.4127,67.8671,65.8676,68.6634,68.9877,67.6552,68.3968,64.4442,68.0465,63.9533,52.0209,48.4725
FUE 6,54.7475,54.7103,54.7099,54.6201,54.5784,54.4695,54.5582,54.2727,54.2059,53.5555,52.8003,52.8204,54.0038,51.4977,53.2067,53.2679,52.4297,44.8767,47.2814,52.5238,52.6458,47.7357,51.889,40.0198,52.1437,50.2928,48.0459,51.2302,51.6214,50.0481,50.9129,46.509,50.5013,45.9874,33.8217,30.2646
FUE 7,80.7644,80.7386,80.7383,80.6757,80.6465,80.5699,80.6323,80.4299,80.382,79.9048,79.3277,79.3434,80.2357,78.2807,79.6412,79.6879,79.0362,72.2923,74.559,79.1107,79.2068,74.9782,78.6016,67.5649,78.8077,77.2621,75.2624,78.0584,78.3827,77.0501,77.7917,73.8389,77.4414,73.3481,61.4156,57.8671
FUE 8,76.0738,76.0492,76.0489,75.9893,75.9615,75.8885,75.948,75.7549,75.7092,75.2522,74.697,74.7121,75.5694,73.683,74.999,75.0438,74.4154,67.7867,70.032,74.4875,74.5803,70.4458,73.9946,63.0801,74.1943,72.6899,70.7262,73.4668,73.7821,72.4826,73.207,69.32,72.8652,68.8339,56.9388,53.3918
FUE 9,60.173,60.1515,60.1513,60.0992,60.0749,60.0109,60.0631,59.8936,59.8533,59.4481,58.9496,58.9633,59.7298,58.0238,59.2216,59.2618,58.6945,52.3863,54.5695,58.7599,58.8441,54.9681,58.3102,47.7413,58.493,57.1004,55.2373,57.824,58.115,56.9058,57.583,53.8806,57.2644,53.4084,41.6241,38.0814
FUE 10,56.3802,56.3533,56.353,56.2879,56.2576,56.1781,56.2429,56.0328,55.9832,55.4896,54.8951,54.9113,55.8318,53.8219,55.2178,55.2659,54.5956,47.7624,50.0455,54.6722,54.7709,50.4687,54.1502,43.0194,54.3613,52.7833,50.7559,53.5948,53.9262,52.5678,53.3228,49.3193,52.9658,48.8248,36.864,33.3145
FUE 11,54.8067,54.7819,54.7898,54.7634,54.75,54.6842,54.6546,54.6669,54.6512,54.359,53.766,54.3506,54.4602,54.0859,52.5548,53.887,53.9619,52.6945,53.1876,51.997,52.5445,41.3901,50.4176,51.6029,53.3349,53.3406,37.5183,49.6764,52.7204,52.9645,49.1955,30.3176,48.9727,31.4624,39.4505,41.5937
FUE 12,64.9067,64.8662,64.879,64.836,64.8143,64.7082,64.6607,64.6804,64.6553,64.1973,63.3156,64.1842,64.3539,63.7839,61.663,63.4908,63.6005,61.8455,62.5054,60.9507,61.6496,49.4348,59.0462,60.4615,62.7077,62.7156,45.5172,58.1943,61.8796,62.2037,57.6523,38.2909,57.4036,39.4375,47.4672,49.6422
FUE 13,57.956,57.9109,57.9251,57.8773,57.8532,57.7355,57.6829,57.7047,57.6769,57.1728,56.2161,57.1585,57.3446,56.7222,54.4601,56.4049,56.5235,54.6521,55.35,53.7145,54.446,42.0292,51.7446,53.2056,55.5652,55.5736,38.1041,50.8717,54.688,55.0302,50.3183,30.8737,50.065,32.0206,40.0571,42.2373
FUE 14,61.8733,61.8308,61.8442,61.7992,61.7765,61.6654,61.6157,61.6363,61.61,61.1322,60.218,61.1186,61.2953,60.7027,58.52,60.3991,60.5127,58.7067,59.3833,57.793,58.5063,46.2011,55.8593,57.295,59.5913,59.5994,42.2801,54.998,58.7416,59.0737,54.4509,35.0519,54.2001,36.1987,44.2315,46.4088
FUE 15,56.3428,56.3127,56.3222,56.2901,56.2739,56.1944,56.1586,56.1734,56.1545,55.8046,55.1077,55.7945,55.9252,55.4816,53.729,55.2485,55.3361,53.8853,54.4426,53.11,53.7174,42.1162,51.3976,52.6776,54.6108,54.6173,38.2237,50.6097,53.9145,54.1895,50.1028,31.0114,49.8689,32.157,40.164,42.3216
