,FBS,Bid
FUE 1,1,0.84888
FUE 2,1,0.91983
FUE 3,1,0.65413
FUE 4,1,0.9651
FUE 5,1,0.9497
FUE 6,1,0.75546
FUE 7,1,0.061344
FUE 8,1,0.63485
FUE 9,1,0.44365
FUE 10,1,0.54791
FUE 11,2,0.28408
FUE 12,2,0.45335
FUE 13,2,0.51305
FUE 14,2,0.21939
FUE 15,2,0.79692
FUE 16,2,0.1747
FUE 17,2,0.68575
FUE 18,2,0.83984
FUE 19,2,0.90227
FUE 20,2,0.083579
FUE 21,3,0.63997
FUE 22,3,0.46505
FUE 23,3,0.28084
FUE 24,3,0.071835
FUE 25,3,0.35813
FUE 26,3,0.96933
FUE 27,3,0.44759
FUE 28,3,0.64988
FUE 29,3,0.34872
FUE 30,3,0.5284
FUE 31,4,0.4498
FUE 32,4,0.68068
FUE 33,4,0.9915
FUE 34,4,0.9655
FUE 35,4,0.30863
FUE 36,4,0.19626
FUE 37,4,0.85025
FUE 38,4,0.54761
FUE 39,4,0.87836
FUE 40,4,0.98509
FUE 41,5,0.034829
FUE 42,5,0.37886
FUE 43,5,0.4968
FUE 44,5,0.82223
FUE 45,5,0.5702
FUE 46,5,0.68019
FUE 47,5,0.89607
FUE 48,5,0.37309
FUE 49,5,0.70546
FUE 50,5,0.75848
FUE 51,6,0.24063
FUE 52,6,0.51335
FUE 53,6,0.25459
FUE 54,6,0.022526
FUE 55,6,0.8705
FUE 56,6,0.66315
FUE 57,6,0.88734
FUE 58,6,0.93961
FUE 59,6,0.43429
FUE 60,6,0.52967
