,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,58.4806,58.4765,58.473,58.4517,58.4487,58.4418,58.4339,58.3538,58.2072,58.3491,58.3028,57.7737,57.6467,58.1837,58.0018,56.4558,57.9971,53.1859,53.0554,57.4237,57.3435,57.2384,56.3576,56.7517,56.5212,56.0182,55.8675,45.1939,56.1386,54.6489,56.0697,48.1814,55.4056,52.6307,55.055,53.9873
FUE 2,71.7182,71.7129,71.7085,71.6809,71.677,71.6682,71.658,71.5549,71.3676,71.5488,71.4895,70.8236,70.6667,71.3378,71.1081,69.2416,71.1022,65.6054,65.4656,70.3937,70.2964,70.1693,69.1273,69.5887,69.3181,68.7353,68.5628,57.358,68.8738,67.1955,68.7945,60.3921,68.039,65.0129,67.646,66.4706
FUE 3,70.3176,70.3127,70.3086,70.2832,70.2796,70.2715,70.2621,70.167,69.9938,70.1614,70.1066,69.4876,69.3409,69.9662,69.7529,67.9937,69.7474,64.4736,64.3367,69.0847,68.9932,68.8734,67.8846,68.3239,68.0665,67.5097,67.3442,56.3033,67.6422,66.0241,67.5664,59.3236,66.8402,63.8925,66.4607,65.319
FUE 4,74.0633,74.0584,74.0542,74.0287,74.0251,74.0169,74.0075,73.9118,73.7377,73.9062,73.8511,73.229,73.0816,73.71,73.4956,71.7291,73.4901,68.2011,68.0639,72.8243,72.7324,72.6121,71.6197,72.0605,71.8022,71.2436,71.0776,60.0253,71.3766,69.7543,71.3005,63.0466,70.5723,67.6192,70.1918,69.0479
FUE 5,56.8202,56.8164,56.8132,56.7933,56.7905,56.7842,56.7768,56.7021,56.5652,56.6977,56.6545,56.1586,56.0391,56.5433,56.3728,54.9087,56.3685,51.7421,51.6143,55.8286,55.7528,55.6533,54.8148,55.1909,54.9712,54.4896,54.3449,43.8292,54.605,53.1679,54.539,46.8018,53.9001,51.1981,53.5614,52.5246
FUE 6,55.6676,55.6637,55.6604,55.6401,55.6372,55.6307,55.6231,55.5467,55.4066,55.5422,55.4979,54.9912,54.8692,55.3841,55.2099,53.7187,55.2055,50.5174,50.3887,54.6545,54.5773,54.4759,53.6233,54.0054,53.7821,53.2934,53.1467,42.5776,53.4105,51.9558,53.3435,45.5553,52.6962,49.9696,52.3535,51.3063
FUE 7,56.8919,56.8859,56.8808,56.8493,56.8448,56.8348,56.8231,56.7057,56.4933,56.6988,56.6314,55.883,55.7088,56.4597,56.201,54.1533,56.1945,50.3334,50.1893,55.407,55.2999,55.1604,54.0304,54.528,54.2356,53.6107,53.4268,41.9708,53.7586,51.9846,53.6739,45.0252,52.8713,49.7234,52.4571,51.229
FUE 8,71.425,71.4195,71.4149,71.3866,71.3826,71.3735,71.363,71.257,71.0647,71.2508,71.1899,70.5072,70.3469,71.0341,70.7986,68.8948,70.7926,65.2194,65.0787,70.0679,69.9686,69.839,68.7786,69.2476,68.9724,68.3809,68.2059,56.9468,68.5213,66.8227,68.4409,59.9854,67.6754,64.6231,67.2779,66.0912
FUE 9,59.374,59.3698,59.3662,59.3441,59.341,59.3339,59.3257,59.2427,59.0911,59.2379,59.1899,58.6436,58.5128,59.0668,58.8788,57.291,58.874,53.9699,53.838,58.2833,58.2009,58.0929,57.1906,57.5937,57.3579,56.8441,56.6904,45.9399,56.9669,55.451,56.8967,48.9345,56.22,53.4093,55.8634,54.7804
FUE 10,75.5155,75.5101,75.5056,75.4775,75.4736,75.4646,75.4542,75.3494,75.159,75.3432,75.2829,74.6068,74.4478,75.1287,74.8954,73.0062,74.8895,69.346,69.2056,74.1712,74.0726,73.944,72.8908,73.3568,73.0834,72.4952,72.3212,61.0831,72.6349,70.9441,72.5549,64.1199,71.7933,68.7511,71.3976,70.2152
FUE 11,54.4308,54.4235,54.4174,54.3797,54.3744,54.3624,54.3484,54.2085,53.9574,54.2004,54.1205,53.2472,53.0473,53.9178,53.6152,51.3075,53.6076,47.2492,47.0997,52.7037,52.5825,52.4254,51.1729,51.7201,51.3978,50.716,50.517,38.7483,50.8766,48.9772,50.7846,41.8264,49.9197,46.6177,49.478,48.1826
FUE 12,94.1855,94.1808,94.1778,94.1588,94.1516,94.1477,94.1129,94.0828,93.9953,93.9909,93.8673,93.7376,93.7104,93.5516,92.8542,91.3813,93.3781,91.9609,92.1446,92.2298,92.3755,92.6934,92.7123,92.5756,89.7265,91.9577,91.9079,75.9843,91.4407,91.5187,89.4704,62.8829,91.2059,72.3458,86.1016,81.3705
FUE 13,61.2776,61.2728,61.2698,61.2506,61.2432,61.2393,61.2041,61.1737,61.0851,61.0807,60.9557,60.8245,60.7971,60.6365,59.9324,58.4485,60.4613,59.032,59.2171,59.303,59.4497,59.7703,59.7894,59.6515,56.7851,59.0288,58.9786,43.0251,58.5083,58.5868,56.5279,29.9229,58.2721,39.3861,53.1496,48.4131
FUE 14,60.6274,60.6223,60.6191,60.599,60.5912,60.587,60.55,60.518,60.4249,60.4202,60.289,60.1515,60.1227,59.9547,59.2211,57.6891,59.7716,58.2895,58.4805,58.5692,58.7209,59.0528,59.0727,58.9297,55.9885,58.2862,58.2345,42.1531,57.7505,57.8312,55.7267,29.0478,57.508,38.5123,52.3082,47.5492
