,FBS,Bid
FUE 1,1,0.84239
FUE 2,1,0.66293
FUE 3,1,0.81624
FUE 4,1,0.79388
FUE 5,1,0.46911
FUE 6,1,0.30952
FUE 7,1,0.68758
FUE 8,1,0.98685
FUE 9,2,0.76993
FUE 10,2,0.82958
FUE 11,2,0.70608
FUE 12,2,0.59534
FUE 13,2,0.75287
FUE 14,2,0.49672
FUE 15,2,0.86513
FUE 16,2,0.068028
FUE 17,3,0.96855
FUE 18,3,0.098756
FUE 19,3,0.54698
FUE 20,3,0.40297
FUE 21,3,0.10704
FUE 22,3,0.72417
FUE 23,3,0.61368
FUE 24,3,0.78297
FUE 25,4,0.56662
FUE 26,4,0.81132
FUE 27,4,0.57678
FUE 28,4,0.94403
FUE 29,4,0.87145
FUE 30,4,0.5076
FUE 31,4,0.78882
FUE 32,4,0.47303
FUE 33,5,0.8288
FUE 34,5,0.32248
FUE 35,5,0.97615
FUE 36,5,0.27821
FUE 37,5,0.072831
FUE 38,5,0.75122
FUE 39,5,0.83119
FUE 40,5,0.92234
FUE 41,6,0.32702
FUE 42,6,0.80407
FUE 43,6,0.53825
FUE 44,6,0.46329
FUE 45,6,0.82075
FUE 46,6,0.95191
FUE 47,6,0.076273
FUE 48,6,0.70867
