,FBS,Bid
FUE 1,1,0.97677
FUE 2,1,0.24361
FUE 3,1,0.24945
FUE 4,1,0.83052
FUE 5,1,0.85178
FUE 6,1,0.035461
FUE 7,1,0.44804
FUE 8,1,0.093718
FUE 9,1,0.99317
FUE 10,1,0.60955
FUE 11,2,0.47404
FUE 12,2,0.18397
FUE 13,2,0.12399
FUE 14,2,0.54011
FUE 15,2,0.89222
FUE 16,2,0.49669
FUE 17,2,0.3659
FUE 18,2,0.38482
FUE 19,2,0.98839
FUE 20,2,0.060339
FUE 21,3,0.46367
FUE 22,3,0.22532
FUE 23,3,0.66478
FUE 24,3,0.84599
FUE 25,3,0.56399
FUE 26,3,0.76024
FUE 27,3,0.68354
FUE 28,3,0.57435
FUE 29,3,0.29244
FUE 30,3,0.20407
FUE 31,4,0.29054
FUE 32,4,0.42295
FUE 33,4,0.14042
FUE 34,4,0.5022
FUE 35,4,0.54305
FUE 36,4,0.32247
FUE 37,4,0.92309
FUE 38,4,0.23955
FUE 39,4,0.30365
FUE 40,4,0.77915
FUE 41,5,0.1221
FUE 42,5,0.56362
FUE 43,5,0.88817
FUE 44,5,0.86015
FUE 45,5,0.18852
FUE 46,5,0.69134
FUE 47,5,0.14385
FUE 48,5,0.5807
FUE 49,5,0.5036
FUE 50,5,0.11044
FUE 51,6,0.47439
FUE 52,6,0.6456
FUE 53,6,0.3104
FUE 54,6,0.31503
FUE 55,6,0.14498
FUE 56,6,0.80884
FUE 57,6,0.37338
FUE 58,6,0.59934
FUE 59,6,0.1413
FUE 60,6,0.78924
