,FBS,Bid
FUE 1,1,0.29333
FUE 2,1,0.66906
FUE 3,1,0.72334
FUE 4,1,0.46899
FUE 5,1,0.36654
FUE 6,1,0.40528
FUE 7,1,0.18154
FUE 8,1,0.60344
FUE 9,1,0.26968
FUE 10,1,0.63115
FUE 11,1,0.95085
FUE 12,1,0.65683
FUE 13,1,0.28929
FUE 14,1,0.64565
FUE 15,2,0.56608
FUE 16,2,0.81762
FUE 17,2,0.44842
FUE 18,2,0.34688
FUE 19,2,0.04019
FUE 20,2,0.81351
FUE 21,2,0.31928
FUE 22,2,0.060408
FUE 23,2,0.66829
FUE 24,2,0.47315
FUE 25,2,0.74885
FUE 26,2,0.47478
FUE 27,2,0.84396
FUE 28,2,0.27777
FUE 29,3,0.71902
FUE 30,3,0.68501
FUE 31,3,0.79087
FUE 32,3,0.45292
FUE 33,3,0.79701
FUE 34,3,0.42899
FUE 35,3,0.52843
FUE 36,3,0.91837
FUE 37,3,0.89614
FUE 38,3,0.16665
FUE 39,3,0.41685
FUE 40,3,0.45931
FUE 41,3,0.6262
FUE 42,3,0.31877
FUE 43,4,0.8506
FUE 44,4,0.75654
FUE 45,4,0.045901
FUE 46,4,0.25268
FUE 47,4,0.6389
FUE 48,4,0.83474
FUE 49,4,0.17653
FUE 50,4,0.91677
FUE 51,4,0.7413
FUE 52,4,0.13607
FUE 53,4,0.96598
FUE 54,4,0.59719
FUE 55,4,0.97979
FUE 56,4,0.4079
FUE 57,5,0.41853
FUE 58,5,0.91099
FUE 59,5,0.26757
FUE 60,5,0.76081
FUE 61,5,0.24509
FUE 62,5,0.91901
FUE 63,5,0.78617
FUE 64,5,0.94724
FUE 65,5,0.49584
FUE 66,5,0.18243
FUE 67,5,0.96139
FUE 68,5,0.75685
FUE 69,5,0.066822
FUE 70,5,0.015028
FUE 71,6,0.56963
FUE 72,6,0.002007
FUE 73,6,0.55312
FUE 74,6,0.024611
FUE 75,6,0.48292
FUE 76,6,0.039533
FUE 77,6,0.23377
FUE 78,6,0.2542
FUE 79,6,0.90735
FUE 80,6,0.20609
FUE 81,6,0.64426
FUE 82,6,0.90975
FUE 83,6,0.57279
FUE 84,6,0.31243
