,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,58.9548,58.9543,58.9536,58.9524,58.9508,58.9451,58.932,58.9178,58.923,58.9208,58.8994,58.8589,58.8385,58.704,58.4701,58.4398,58.5694,55.4393,58.1639,57.8118,55.0096,53.547,47.1352,44.7738,42.2059,52.8996,51.656,56.0555,53.8261,46.6835,53.0636,55.8218,55.0227,54.7074,45.4582,39.9427
FUE 2,70.415,70.4147,70.4141,70.4131,70.4119,70.4072,70.3967,70.3853,70.3895,70.3877,70.3705,70.3377,70.3212,70.212,70.0207,69.9958,70.1022,67.3971,69.7675,69.4726,67.0073,65.6567,59.469,57.1363,54.5862,65.0486,63.8668,67.9493,65.9171,59.0241,65.2032,67.7408,67.0192,66.7312,57.8139,52.332
FUE 3,74.1353,74.135,74.1343,74.1331,74.1316,74.1261,74.1137,74.1003,74.1052,74.1031,74.0828,74.0443,74.0249,73.897,73.6741,73.6452,73.7688,70.7446,73.3815,73.0439,70.3244,68.8882,62.5277,60.1728,57.6088,68.2499,67.0206,71.3453,69.163,62.0776,68.4117,71.1177,70.3372,70.0284,60.8556,55.3476
FUE 4,62.0793,62.0789,62.0782,62.0769,62.0753,62.0695,62.0562,62.0419,62.0471,62.0448,62.0232,61.9821,61.9614,61.825,61.588,61.5573,61.6887,58.5294,61.2781,60.922,58.0971,56.6274,50.2019,47.8388,45.2699,55.9775,54.7301,59.1498,56.9077,49.7499,56.1421,58.9145,58.1102,57.7932,48.5236,43.0062
FUE 5,58.5947,58.5942,58.5934,58.592,58.5903,58.584,58.5696,58.554,58.5597,58.5572,58.5338,58.4892,58.4667,58.3192,58.0637,58.0306,58.172,54.8413,57.731,57.3509,54.3941,52.8839,46.3817,44.0092,41.4345,52.2201,50.9513,55.4859,53.1709,45.9274,52.388,55.2409,54.4077,54.0807,44.6962,39.1679
FUE 6,78.001,78.0007,78.0001,77.9991,77.9978,77.993,77.9822,77.9705,77.9748,77.973,77.9553,77.9218,77.9049,77.7931,77.5973,77.5718,77.6807,74.9291,77.3385,77.0376,74.5348,73.1712,66.9565,64.6203,62.068,72.5584,71.3692,75.4886,73.4337,66.5108,72.7141,75.2773,74.5469,74.2557,65.2987,59.8127
FUE 7,88.1007,88.1004,88.0997,88.0986,88.0973,88.0921,88.0804,88.0678,88.0724,88.0704,88.0514,88.0152,87.997,87.8765,87.6662,87.6389,87.7557,84.8557,87.3892,87.0685,84.4471,83.0432,76.7466,74.3997,71.8408,82.4161,81.2045,85.4379,83.3125,76.2983,82.5752,85.2176,84.4595,84.1586,75.0806,69.5822
FUE 8,55.059,55.0586,55.058,55.0569,55.0556,55.0505,55.0391,55.0268,55.0313,55.0293,55.0107,54.9752,54.9574,54.8394,54.6331,54.6063,54.7209,51.862,54.3612,54.046,51.4572,50.0643,43.7897,41.4457,38.8886,49.4411,48.2355,52.4379,50.3318,43.3422,49.5993,52.2201,51.4696,51.1713,42.126,36.6308
FUE 9,56.2111,56.2108,56.2103,56.2095,56.2085,56.2047,56.1961,56.1868,56.1902,56.1887,56.1747,56.148,56.1345,56.045,55.8872,55.8666,55.9546,53.6165,55.6766,55.4287,53.265,52.0251,46.0772,43.7771,41.2475,51.4573,50.3402,54.1091,52.2665,45.6399,51.6021,53.9239,53.2758,53.0141,44.4469,39.0037
FUE 10,78.1355,78.1352,78.1346,78.1336,78.1323,78.1275,78.1167,78.105,78.1093,78.1074,78.0898,78.0562,78.0392,77.9273,77.7313,77.7057,77.8147,75.0603,77.4721,77.1708,74.6657,73.3013,67.085,64.7485,62.1961,72.6883,71.4986,75.6202,73.564,66.6392,72.844,75.4087,74.6778,74.3864,65.427,59.9407
FUE 11,57.0376,57.0373,57.0369,57.036,57.035,57.0312,57.0226,57.0133,57.0167,57.0152,57.0011,56.9743,56.9608,56.871,56.7127,56.692,56.7803,54.4364,56.5014,56.2528,54.0843,52.8425,46.8904,44.5897,42.0597,52.274,51.1558,54.9299,53.0842,46.453,52.419,54.7444,54.0951,53.833,45.2596,39.8157
FUE 12,73.1481,73.1479,73.1473,73.1463,73.1454,73.1392,73.1338,73.1135,73.1142,73.1133,73.085,73.0358,73.0545,72.7783,72.9032,72.8681,72.7798,69.7828,72.2072,72.0291,62.1925,71.1676,69.8315,62.5199,68.6145,70.7434,70.4382,70.4239,70.606,48.6699,70.3567,69.1382,65.8496,70.0587,46.455,55.8522
FUE 13,58.488,58.4877,58.4871,58.4861,58.4852,58.4789,58.4734,58.4527,58.4534,58.4525,58.4237,58.3735,58.3926,58.1115,58.2385,58.2028,58.1129,55.0783,57.531,57.3502,47.4569,56.4773,55.1274,47.7849,53.9011,56.0482,55.7399,55.7254,55.9094,33.9282,55.6575,54.4285,51.1227,55.3567,31.7131,41.1117
FUE 14,69.8148,69.8145,69.8138,69.8125,69.8115,69.8039,69.7973,69.7725,69.7734,69.7722,69.7378,69.6779,69.7007,69.3671,69.5173,69.475,69.3688,65.9588,68.6902,68.4823,58.0528,67.4951,66.012,58.3853,64.698,67.0186,66.6793,66.6634,66.8655,44.4694,66.589,65.2599,61.7956,66.2608,42.2533,51.6635
FUE 15,75.2554,75.2551,75.2545,75.2534,75.2525,75.246,75.2404,75.2191,75.2198,75.2189,75.1893,75.1377,75.1574,74.8687,74.9991,74.9624,74.8702,71.7798,74.2744,74.0896,64.1134,73.1997,71.8296,64.4421,70.5897,72.7635,72.4505,72.4358,72.6225,50.5757,72.3669,71.1225,67.7916,72.0619,48.3605,57.761
FUE 16,85.8004,85.8001,85.7995,85.7984,85.7975,85.791,85.7853,85.7639,85.7646,85.7637,85.7339,85.6821,85.7018,85.4116,85.5426,85.5058,85.4131,82.3107,84.8142,84.6286,74.6347,83.735,82.3606,74.9636,81.1178,83.2973,82.9832,82.9685,83.1558,61.0951,82.8994,81.6517,78.3155,82.5935,58.8799,68.2808
FUE 17,54.4467,54.4463,54.4454,54.4438,54.4424,54.4328,54.4245,54.3931,54.3941,54.3927,54.3491,54.2735,54.3022,53.8854,54.0721,54.0194,53.8876,49.9494,53.0621,52.8145,41.7073,51.6663,50.0077,42.0448,48.5848,51.126,50.7458,50.7281,50.954,28.0645,50.6452,49.1889,45.5364,50.2815,25.8474,35.2702
FUE 18,66.9843,66.984,66.9834,66.9823,66.9814,66.975,66.9695,66.9486,66.9493,66.9483,66.9192,66.8685,66.8878,66.6036,66.732,66.6959,66.6051,63.5478,66.0175,65.8351,55.908,64.9553,63.5972,56.2363,62.3653,64.5233,64.2131,64.1985,64.3836,42.3756,64.1302,62.895,59.5789,63.8277,40.1605,49.5598
FUE 19,71.7622,71.7619,71.7613,71.7601,71.7591,71.7523,71.7464,71.7241,71.7248,71.7238,71.6928,71.6386,71.6592,71.3568,71.4932,71.4549,71.3584,68.1669,70.7368,70.5448,60.4214,69.6242,68.2178,60.7514,66.9537,69.1751,68.8537,68.8386,69.0303,46.8683,68.7679,67.4961,64.1212,68.4554,44.6528,54.0566
FUE 20,79.361,79.3606,79.36,79.3588,79.3578,79.3507,79.3445,79.3212,79.322,79.3209,79.2885,79.2321,79.2535,78.9386,79.0806,79.0406,78.9402,75.6593,78.2956,78.0971,67.8465,77.1492,75.7112,68.1775,74.4263,76.6889,76.3601,76.3447,76.5406,54.2805,76.2725,74.9768,71.5645,75.9535,52.0647,61.4713
FUE 21,54.4278,54.4276,54.4271,54.4262,54.4254,54.4199,54.4151,54.3971,54.3977,54.3969,54.3718,54.328,54.3447,54.0983,54.2098,54.1785,54.0996,51.3355,53.5836,53.4217,43.9487,52.6308,51.3815,44.2727,50.2244,52.2369,51.9519,51.9385,52.1087,30.4683,51.8755,50.7243,47.5481,51.5957,28.2542,37.6423
FUE 22,83.0709,83.0705,83.0699,83.0687,83.0678,83.0608,83.0547,83.0319,83.0326,83.0316,82.9998,82.9444,82.9655,82.6563,82.7957,82.7565,82.6579,79.418,82.0239,81.8284,71.6357,80.893,79.4694,71.9662,78.194,80.4378,80.1124,80.0971,80.2911,58.0755,80.0256,78.7408,75.3455,79.7096,55.8599,65.2651
FUE 23,59.4302,59.4298,59.4292,59.4276,59.4267,59.4163,59.414,59.393,59.3771,59.3708,59.341,59.2161,59.2595,58.8201,59.1165,59.0336,58.5376,57.9039,56.5281,56.3805,51.5151,57.476,57.2926,55.5864,56.8264,56.9399,56.87,52.9867,56.2142,52.1995,56.1279,47.7178,30.0491,54.0435,50.9733,52.7283
FUE 24,57.1817,57.1815,57.1811,57.1799,57.1793,57.172,57.1705,57.1558,57.1447,57.1402,57.1194,57.0314,57.0621,56.7478,56.9608,56.9016,56.5409,56.0643,54.9742,54.8532,50.5406,55.733,55.5888,54.1897,55.2165,55.3079,55.2517,51.8986,54.7159,51.1766,54.6443,46.913,29.3677,52.8492,50.0324,51.6628
FUE 25,60.6845,60.6842,60.6838,60.6825,60.6818,60.6738,60.672,60.6557,60.6434,60.6384,60.6153,60.5178,60.5518,60.205,60.4397,60.3744,59.9781,59.4591,58.289,58.1604,53.6813,59.1012,58.9461,57.4589,58.5473,58.645,58.5849,55.0748,58.0147,54.3325,57.9389,49.9996,32.4141,56.0579,53.1625,54.832
