,FBS,Bid
FUE 1,1,0.54841
FUE 2,1,0.056674
FUE 3,1,0.81273
FUE 4,1,0.659
FUE 5,1,0.11719
FUE 6,1,0.27945
FUE 7,1,0.53071
FUE 8,1,0.73227
FUE 9,1,0.82636
FUE 10,2,0.22942
FUE 11,2,0.92258
FUE 12,2,0.36745
FUE 13,2,0.03805
FUE 14,2,0.64889
FUE 15,2,0.81779
FUE 16,2,0.42105
FUE 17,2,0.805
FUE 18,2,0.20687
FUE 19,3,0.31117
FUE 20,3,0.87261
FUE 21,3,0.58674
FUE 22,3,0.75181
FUE 23,3,0.75501
FUE 24,3,0.028024
FUE 25,3,0.64225
FUE 26,3,0.69289
FUE 27,3,0.23218
FUE 28,4,0.29048
FUE 29,4,0.20561
FUE 30,4,0.84316
FUE 31,4,0.095302
FUE 32,4,0.19071
FUE 33,4,0.76308
FUE 34,4,0.21486
FUE 35,4,0.046862
FUE 36,4,0.17862
FUE 37,5,0.43714
FUE 38,5,0.70157
FUE 39,5,0.43666
FUE 40,5,0.33272
FUE 41,5,0.48596
FUE 42,5,0.010981
FUE 43,5,0.053858
FUE 44,5,0.35729
FUE 45,5,0.76897
FUE 46,6,0.61434
FUE 47,6,0.58393
FUE 48,6,0.70457
FUE 49,6,0.51018
FUE 50,6,0.5763
FUE 51,6,0.96564
FUE 52,6,0.14744
FUE 53,6,0.77542
FUE 54,6,0.6896
