,FBS,Bid
FUE 1,1,0.41245
FUE 2,1,0.77848
FUE 3,1,0.43439
FUE 4,1,0.18908
FUE 5,1,0.079325
FUE 6,1,0.90996
FUE 7,1,0.3623
FUE 8,1,0.87854
FUE 9,1,0.52467
FUE 10,2,0.42108
FUE 11,2,0.889
FUE 12,2,0.38131
FUE 13,2,0.36632
FUE 14,2,0.21856
FUE 15,2,0.88618
FUE 16,2,0.39781
FUE 17,2,0.14217
FUE 18,2,0.81595
FUE 19,3,0.45931
FUE 20,3,0.25914
FUE 21,3,0.70362
FUE 22,3,0.43962
FUE 23,3,0.025883
FUE 24,3,0.32168
FUE 25,3,0.4291
FUE 26,3,0.27246
FUE 27,3,0.16012
FUE 28,4,0.79143
FUE 29,4,0.5477
FUE 30,4,0.31045
FUE 31,4,0.89532
FUE 32,4,0.36626
FUE 33,4,0.32902
FUE 34,4,0.61476
FUE 35,4,0.19605
FUE 36,4,0.3272
FUE 37,5,0.17735
FUE 38,5,0.45833
FUE 39,5,0.80097
FUE 40,5,0.43543
FUE 41,5,0.08303
FUE 42,5,0.58177
FUE 43,5,0.554
FUE 44,5,0.035769
FUE 45,5,0.16475
FUE 46,6,0.92084
FUE 47,6,0.38264
FUE 48,6,0.51861
FUE 49,6,0.31803
FUE 50,6,0.53301
FUE 51,6,0.68191
FUE 52,6,0.33125
FUE 53,6,0.20535
FUE 54,6,0.66374
