,FBS,Bid
FUE 1,1,0.2938
FUE 2,1,0.13792
FUE 3,1,0.99577
FUE 4,1,0.79316
FUE 5,1,0.74287
FUE 6,1,0.47182
FUE 7,1,0.1631
FUE 8,1,0.3821
FUE 9,1,0.8639
FUE 10,1,0.46889
FUE 11,1,0.57707
FUE 12,1,0.18659
FUE 13,1,0.90707
FUE 14,1,0.20409
FUE 15,2,0.88672
FUE 16,2,0.37531
FUE 17,2,0.25128
FUE 18,2,0.21652
FUE 19,2,0.12273
FUE 20,2,0.20216
FUE 21,2,0.78438
FUE 22,2,0.71133
FUE 23,2,0.99964
FUE 24,2,0.9733
FUE 25,2,0.19292
FUE 26,2,0.25072
FUE 27,2,0.94849
FUE 28,2,0.66471
FUE 29,3,0.96968
FUE 30,3,0.21227
FUE 31,3,0.95481
FUE 32,3,0.17111
FUE 33,3,0.67941
FUE 34,3,0.60685
FUE 35,3,0.74843
FUE 36,3,0.96443
FUE 37,3,0.014553
FUE 38,3,0.32487
FUE 39,3,0.44216
FUE 40,3,0.48399
FUE 41,3,0.52267
FUE 42,3,0.026022
FUE 43,4,0.75178
FUE 44,4,0.13206
FUE 45,4,0.83867
FUE 46,4,0.48917
FUE 47,4,0.44041
FUE 48,4,0.20073
FUE 49,4,0.19231
FUE 50,4,0.68388
FUE 51,4,0.68077
FUE 52,4,0.45969
FUE 53,4,0.66739
FUE 54,4,0.32554
FUE 55,4,0.83883
FUE 56,4,0.19519
FUE 57,5,0.66361
FUE 58,5,0.15011
FUE 59,5,0.22265
FUE 60,5,0.25171
FUE 61,5,0.13485
FUE 62,5,0.79122
FUE 63,5,0.34004
FUE 64,5,0.58213
FUE 65,5,0.30696
FUE 66,5,0.72346
FUE 67,5,0.099831
FUE 68,5,0.044778
FUE 69,5,0.059889
FUE 70,5,0.68613
FUE 71,6,0.64148
FUE 72,6,0.81101
FUE 73,6,0.25527
FUE 74,6,0.1961
FUE 75,6,0.41101
FUE 76,6,0.96403
FUE 77,6,0.28897
FUE 78,6,0.84703
FUE 79,6,0.0045556
FUE 80,6,0.018404
FUE 81,6,0.74294
FUE 82,6,0.89124
FUE 83,6,0.042912
FUE 84,6,0.1509
